label,text,source,text_clean
smish,"ঈদ উপলয়ে ব্রাক ব্যাংক সবার বিকাশ একাউন্টে ১০০০ টাকা করে দিচ্ছে বোনাস হিসাবে। আমি এইমাত্র বিকাশের ওয়েবসাইটে আমার নাম্বার বসিয়ে টাকা নিলাম। আপনি যদি | এখনো না পেয়ে থাকেন তাহলে নিচের লিংকে ঢুকে আপনার বিকাশ নম্বর দিন আর সাথে সাথে পেয়ে যাবেন ১০০০ টাকা।
লিংকঃ https://bit.ly/bKash_1000",Bengali,ঈদ উপলয়ে ব্রাক ব্যাংক সবার বিকাশ একাউন্টে ১০০০ টাকা করে দিচ্ছে বোনাস হিসাবে। আমি এইমাত্র বিকাশের ওয়েবসাইটে আমার নাম্বার বসিয়ে টাকা নিলাম। আপনি যদি | এখনো না পেয়ে থাকেন তাহলে নিচের লিংকে ঢুকে আপনার বিকাশ নম্বর দিন আর সাথে সাথে পেয়ে যাবেন ১০০০ টাকা। লিংকঃ [URL]
promo,বিশাল সেভিংস! হোম ডেকোরেশন আইটেমে ৪৫% পর্যন্ত ছাড়। শুধু আজ!,Bengali,বিশাল সেভিংস! হোম ডেকোরেশন আইটেমে ৪৫% পর্যন্ত ছাড়। শুধু আজ!
promo,"Success of Sheikh Hasina's government: 
In 2006, there were only 98 government websites. In 2023, it has increased to 52,200.",English,"Success of Sheikh Hasina's government: In 2006, there were only 98 government websites. In 2023, it has increased to 52,200."
normal,"আজকে নতুন রেস্টুরেন্টে খেতে গিয়েছিলাম। খাবারের স্বাদ বেশ ভালো, দামও খুব বেশি না। ভাবছি আবারও যাবো।",Bengali,"আজকে নতুন রেস্টুরেন্টে খেতে গিয়েছিলাম। খাবারের স্বাদ বেশ ভালো, দামও খুব বেশি না। ভাবছি আবারও যাবো।"
smish,"I need 200 people, no advance needed, if you want to work without free investment, inbox me. https://jycmyfyxx.toeverge.top/7e3ackVlQwlzSkV6BEIDeH9QD39bByUBDk9vJ289FAZZUFJNZBYCASsVPDQ4UiQAAy1cIzJSGkRyNSF_ClxRVnIhWwsR&p=rqrrms&_mi1711019676868",English,"I need 200 people, no advance needed, if you want to work without free investment, inbox me. [URL]"
normal,"You are amazing, have faith in yourself.",English,"You are amazing, have faith in yourself."
normal,"Hey, what's up? Haven't seen you in ages. How's everything going?",English,"Hey, what's up? Haven't seen you in ages. How's everything going?"
smish,সোনালী ব্যাংক অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। জরুরি ভিত্তিতে বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801819876543,Bengali,সোনালী ব্যাংক অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। জরুরি ভিত্তিতে বিস্তারিত জানতে এখানে ক্লিক করুন: [URL]
smish,"Dear Customer,

Your income tax refund has been approved for a total of Rs 20,490/-, this amount will be credited soon. Please verify your account number 5XXXXXXXXXX755. If this is wrong, then click the link below to update your bank account information.

Link: [https://bit.ly/20wpYK6](https://bit.ly/20wpYK6)

Thank you.",English,"Dear Customer, Your income tax refund has been approved for a total of Rs 20,490/-, this amount will be credited soon. Please verify your account number 5XX755. If this is wrong, then click the link below to update your bank account information. Link: [ [URL] Thank you."
smish,নগদ অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। কল করুন: +8801812122134,Bengali,নগদ অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। কল করুন: [PHONE]
smish,বাংলাদেশ ব্যাংক অ্যাকাউন্ট আপডেট করতে এখানে ক্লিক করুন: https://wa.me/8801914567890,Bengali,বাংলাদেশ ব্যাংক অ্যাকাউন্ট আপডেট করতে এখানে ক্লিক করুন: [URL]
normal,"কাল রাতে নতুন সিনেমাটা দেখলাম। গল্পটা দারুণ ছিল, একেবারে মন ছুঁয়ে গেছে। আবার দেখতে ইচ্ছে করছে।",Bengali,"কাল রাতে নতুন সিনেমাটা দেখলাম। গল্পটা দারুণ ছিল, একেবারে মন ছুঁয়ে গেছে। আবার দেখতে ইচ্ছে করছে।"
smish,Congratulations! You won 1 crore TK lottery. Contact us to claim prize: 01567546390,English,Congratulations! You won 1 crore TK lottery. Contact us to claim prize: [PHONE]
promo,বাংলালিংকের সাপ্তাহিক ক্যাশব্যাক অফার – ২০০ টাকার রিচার্জে পান ৫০ টাকা বোনাস। রিচার্জ করতে আপনার নিকটস্থ দোকানে যান।,Bengali,বাংলালিংকের সাপ্তাহিক ক্যাশব্যাক অফার – ২০০ টাকার রিচার্জে পান ৫০ টাকা বোনাস। রিচার্জ করতে আপনার নিকটস্থ দোকানে যান।
promo,"মে-২৪
রিচার্জ:0৳
খরচ:
ডেটা:287৳
ভয়েস:101৳
অন্যান্য:0৳",Bengali,মে-২৪ রিচার্জ:0৳ খরচ: ডেটা:287৳ ভয়েস:101৳ অন্যান্য:0৳
smish,প্রিয়জনের মুখে হাসি ফুটাতে ডায়াল *213*6551# চার্জ ৮২.৬৭ প্রতিদিন,Bengali,প্রিয়জনের মুখে হাসি ফুটাতে ডায়াল *213*6551# চার্জ ৮২.৬৭ প্রতিদিন
normal,Good luck with your job interview today! You're qualified and will do excellently.,English,Good luck with your job interview today! You're qualified and will do excellently.
smish,Your son arrested for drug possession. Pay bail 150000 TK immediately: police-bail.bd/urgent,English,Your son arrested for drug possession. Pay bail 1500 TK immediately: [URL]
normal,কেমন চলছে তোমার দিন?,Bengali,কেমন চলছে তোমার দিন?
promo,"TK 40 cashback! 46GB@TK 458, 30 days, grab it now: cutt.ly/GwWYCCfJ",English,"TK 40 cashback! 46GB@TK 458, 30 days, grab it now: cutt.ly/GwWYCCfJ"
promo,Robi eShop থেকে ল্যাপটপ কিনলে ফ্রি ব্যাগ ও মাউস পাচ্ছেন। সীমিত সময়ের অফার।,Bengali,Robi eShop থেকে ল্যাপটপ কিনলে ফ্রি ব্যাগ ও মাউস পাচ্ছেন। সীমিত সময়ের অফার।
promo,Banglalink-এ আজ ১০০ টাকার রিচার্জে ২০ মিনিট ফ্রি। শর্ত প্রযোজ্য।,Bengali,Banglalink-এ আজ ১০০ টাকার রিচার্জে ২০ মিনিট ফ্রি। শর্ত প্রযোজ্য।
smish,There is a problem with Bangladesh Bank account. Call: +8801818899001,English,There is a problem with Bangladesh Bank account. Call: [PHONE]
smish,শাকিবের সাথে লাঞ্চ করার সুযোগ পেতে আজই আইপিএলে বাজি ধরুন। শুরু করুন: ebayisapidlld.altervista.org/,Bengali,শাকিবের সাথে লাঞ্চ করার সুযোগ পেতে আজই আইপিএলে বাজি ধরুন। শুরু করুন: [URL]
promo,"Fresh Valley dairy products! Pure milk, butter, cheese home delivery. Order: 01711334455 for freshness!",English,"Fresh Valley dairy products! Pure milk, butter, cheese home delivery. Order: [PHONE] for freshness!"
promo,"Level up with new deal internet 25GB+400min@TK397, 30 days cutt.ly/oeeJSDbP",English,"Level up with new deal internet 25GB+400min@TK397, 30 days cutt.ly/oeeJSDbP"
smish,খণ্ডকালীন জব।বেতন 5000 BDT/দিন।ঘরে বসে কাজ : wa.me/85295102105,Bengali,খণ্ডকালীন জব।বেতন 5000 BDT/দিন।ঘরে বসে কাজ : wa.me/ [PHONE]
normal,আমার নাম্বারে ০১৭৩৬৬৩৭৩৮৭ ফ্লেক্সিলোড করে দাও ৫০০ টাকা,Bengali,আমার নাম্বারে [PHONE] ফ্লেক্সিলোড করে দাও ৫০০ টাকা
normal,শুভ ঈদ-উল-ফিতর!,Bengali,শুভ ঈদ-উল-ফিতর!
smish,জরুরি নোটিশ: আপনার বিদ্যুৎ বিল বকেয়া। সংযোগ বিচ্ছিন্নের আগে পেমেন্ট: pay-bill.ga,Bengali,জরুরি নোটিশ: আপনার বিদ্যুৎ বিল বকেয়া। সংযোগ বিচ্ছিন্নের আগে পেমেন্ট: pay-bill.ga
promo,"গ্রামীণফোনের মিনিট অফার এখন আরো আকর্ষণীয়! ২৭ মিনিট ২৪ ঘন্টা, নিতে রিচার্জ বা বিকাশ করুন ১৯ টাকা।",Bengali,"গ্রামীণফোনের মিনিট অফার এখন আরো আকর্ষণীয়! ২৭ মিনিট ২৪ ঘন্টা, নিতে রিচার্জ বা বিকাশ করুন ১৯ টাকা।"
normal,Are you watching a game?,English,Are you watching a game?
smish,"আপনার লোন অনুমোদিত হয়েছে! মাত্র ৫% সুদে ৫,০০,০০০ টাকা লোন পেতে এখনই এই লিঙ্কে ক্লিক করুন",Bengali,"আপনার লোন অনুমোদিত হয়েছে! মাত্র ৫% সুদে ৫,০০,০০০ টাকা লোন পেতে এখনই এই লিঙ্কে ক্লিক করুন"
promo,নতুন কালেকশন এসেছে! কে ও কে সালোয়ার কামিজে ৩৫% ছাড়।,Bengali,নতুন কালেকশন এসেছে! কে ও কে সালোয়ার কামিজে ৩৫% ছাড়।
smish,Click here to increase your credit card limit: [creditcardlimit.com/IncreaseBD],English,Click here to increase your credit card limit: [URL]
promo,Standard Chartered priority banking! Exclusive services for deposits above 10 lakh. Apply: 16203!,English,Standard Chartered priority banking! Exclusive services for deposits above 10 lakh. Apply: 16203!
promo,"শেখ হাসিনা সরকারের সাফল্য:
বিগত ১৪ বছরে ১৪৪১ কি.মি. বাঁধ নির্মাণের ফলে দেশব্যাপী ৪.৪৩ লক্ষ হেক্টের এলাকায় বন্যা নিয়ন্ত্রণ ও নিষ্কাশন সুবিধার সম্প্রসারণ ঘটেছে।",Bengali,শেখ হাসিনা সরকারের সাফল্য: বিগত ১৪ বছরে ১৪৪১ কি.মি. বাঁধ নির্মাণের ফলে দেশব্যাপী ৪.৪৩ লক্ষ হেক্টের এলাকায় বন্যা নিয়ন্ত্রণ ও নিষ্কাশন সুবিধার সম্প্রসারণ ঘটেছে।
smish,Free mining income https://t.me/hamster_koMbat_bot/start?startapp=kentId6816861581,English,Free mining income [URL]
normal,Are you going to the garden?,English,Are you going to the garden?
promo,Daraz App-এ নতুন ইউজার রেজিস্টার করলে ২৫০ টাকা ভাউচার ফ্রি। এখনই ডাউনলোড করে শপিং শুরু করুন।,Bengali,Daraz App-এ নতুন ইউজার রেজিস্টার করলে ২৫০ টাকা ভাউচার ফ্রি। এখনই ডাউনলোড করে শপিং শুরু করুন।
smish,আপনার পাসওয়ার্ডটি অবিলম্বে পরিবর্তন করুন। এখানে ক্লিক করুন: [passwordchange.com/ChangeBD],Bengali,আপনার পাসওয়ার্ডটি অবিলম্বে পরিবর্তন করুন। এখানে ক্লিক করুন: [URL]
smish,"Robi ব্যবহারকারী, আপনার সিম অবিলম্বে যাচাই করতে robicare-verification.org এ গিয়ে নাম, জন্মতারিখ এবং OTP দিন। যাচাই না করলে ১২ ঘণ্টার মধ্যে সিম ব্লক হবে।",Bengali,"Robi ব্যবহারকারী, আপনার সিম অবিলম্বে যাচাই করতে [URL] এ গিয়ে নাম, জন্মতারিখ এবং OTP দিন। যাচাই না করলে ১২ ঘণ্টার মধ্যে সিম ব্লক হবে।"
smish,"10,000 TK has been deposited in Nagad account. Call for details: +8801817677789",English,"10,000 TK has been deposited in Nagad account. Call for details: [PHONE]"
promo,"Pocket saving with TK30 cashback- 12GB+200min @TK169, 7 days: cutt.ly/Mw59ykAZ",English,"Pocket saving with TK30 cashback- 12GB+200min @TK169, 7 days: cutt.ly/Mw59ykAZ"
smish,Emergency! আপনার ইন্স্যুরেন্স পলিসি ক্যানসেল। সেভ করুন: save-policy.ml,Bengali,Emergency! আপনার ইন্স্যুরেন্স পলিসি ক্যানসেল। সেভ করুন: save-policy.ml
normal,There's a stone beside you. Thank you.,English,There's a stone beside you. Thank you.
normal,I can't be with you today. I am by your side.,English,I can't be with you today. I am by your side.
promo,'E-driving license can be used by displaying it on smart mobile phones.' - BRTA,English,'E-driving license can be used by displaying it on smart mobile phones.' - BRTA
normal,আমি কালকে লাইব্রেরি থেকে 'মেঘনাদবধ কাব্য' এনেছি। পড়া শুরু করবো রাতে।,Bengali,আমি কালকে লাইব্রেরি থেকে 'মেঘনাদবধ কাব্য' এনেছি। পড়া শুরু করবো রাতে।
smish,"Urgent recruitment:
Office assistant
Accommodation and meals provided",English,Urgent recruitment: Office assistant Accommodation and meals provided
normal,I drank a coffee in the morning.,English,I drank a coffee in the morning.
smish,ফ্রিতে জয়েন করে আপনার ফ্রি সময়কে কাজে লাগিয়ে Dxn কম্পানিতে নেটওয়ার্ক মার্কেটিং বিজনেস করে একটা প্যাসিব ইনকামের রাস্তা তৈরি করতে চান তাহলে ইনবক্স করুন,Bengali,ফ্রিতে জয়েন করে আপনার ফ্রি সময়কে কাজে লাগিয়ে Dxn কম্পানিতে নেটওয়ার্ক মার্কেটিং বিজনেস করে একটা প্যাসিব ইনকামের রাস্তা তৈরি করতে চান তাহলে ইনবক্স করুন
promo,"Sheikh Hasina government's success: In 2006, allocation for social security sector was only 2 thousand 505 crore taka. In 2023, it has increased to 1 lakh 26 thousand 272 crore taka.",English,"Sheikh Hasina government's success: In 2006, allocation for social security sector was only 2 thousand 505 crore taka. In 2023, it has increased to 1 lakh 26 thousand 272 crore taka."
smish,Your package is on hold. Click here to provide additional information to complete shipping: https://ow.ly/ xjfF50QsUP4,English,Your package is on hold. Click here to provide additional information to complete shipping: [URL] xjfF50QsUP4
normal,Are you going to the concert?,English,Are you going to the concert?
normal,Hope your father's surgery went well yesterday. Keeping him in thoughts and prayers.,English,Hope your father's surgery went well yesterday. Keeping him in thoughts and prayers.
promo,"Akij Food beverage factory outlet! Soft drinks, snacks 40% off. Perfect for parties and events!",English,"Akij Food beverage factory outlet! Soft drinks, snacks 40% off. Perfect for parties and events!"
promo,City Group clothing special offer! 30% off + gift. Order online!,English,City Group clothing special offer! 30% off + gift. Order online!
normal,Are you with family?,English,Are you with family?
smish,Your driving license points exceeded limit. Restore with penalty 5500 TK: license-points.bd/restore,English,Your driving license points exceeded limit. Restore with penalty 5500 TK: [URL]
smish,অ্যাপল আইফোন ১৩ জিতেছেন! ডেলিভারি নিশ্চিত করতে কল করুন: +8801814567890,Bengali,অ্যাপল আইফোন ১৩ জিতেছেন! ডেলিভারি নিশ্চিত করতে কল করুন: [PHONE]
promo,"ডাবলসেঞ্চুরি ক্যাশব্যাক ৳২০০!৬১জিবি+১০০০মি@ ৳৬৯৯, ৩০দিন cutt.ly/FwQhpKHc",Bengali,"ডাবলসেঞ্চুরি ক্যাশব্যাক ৳২০০!৬১জিবি+১০০০মি@ ৳৬৯৯, ৩০দিন cutt.ly/FwQhpKHc"
smish,গুরুত্বপূর্ণ: আপনার জন্মনিবন্ধন সার্টিফিকেট আপডেট। এখনই: update-birth-cert.cf,Bengali,গুরুত্বপূর্ণ: আপনার জন্মনিবন্ধন সার্টিফিকেট আপডেট। এখনই: update-birth-cert.cf
smish,বাংলাদেশ ব্যাংক থেকে আপনার জন্য জরুরি বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801919900112,Bengali,বাংলাদেশ ব্যাংক থেকে আপনার জন্য জরুরি বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: [URL]
promo,বোনাস সহ ৭জিবি-১৩০টাকা-৩০দিন। নিতে ডায়াল *১২১*৫৪৬৯# বা ভিজিট mygp.li/mo,Bengali,বোনাস সহ ৭জিবি-১৩০টাকা-৩০দিন। নিতে ডায়াল *১২১*৫৪৬৯# বা ভিজিট mygp.li/mo
promo,Shohoz Tickets-এ ট্রেন টিকিটে ১০% ছাড়। কোড: TRAIN10।,Bengali,Shohoz Tickets-এ ট্রেন টিকিটে ১০% ছাড়। কোড: TRAIN10।
smish,"Dear customer, your card information needs to be updated. Please call the number below quickly and tell your pin number. Contact number: 01345678956",English,"Dear customer, your card information needs to be updated. Please call the number below quickly and tell your pin number. Contact number: [PHONE]"
promo,"১৮ মে আন্তর্জাতিক জাদুঘর দিবস। এবারের প্রতিপাদ্য : ""জাদুঘর, স্থায়িত্ব ও সমৃদ্ধি ""। এ উপলক্ষ্যে বাংলাদেশ জাতীয় জাদুঘরের দিনব্যাপী আয়োজনে আপনি সাদরে আমন্ত্রিত। ",Bengali,"১৮ মে আন্তর্জাতিক জাদুঘর দিবস। এবারের প্রতিপাদ্য : ""জাদুঘর, স্থায়িত্ব ও সমৃদ্ধি ""। এ উপলক্ষ্যে বাংলাদেশ জাতীয় জাদুঘরের দিনব্যাপী আয়োজনে আপনি সাদরে আমন্ত্রিত।"
smish,আপনার ইমেল ঠিকানাটি যাচাই করতে এখানে ক্লিক করুন: [secureemail.com/VerifyBD],Bengali,আপনার ইমেল ঠিকানাটি যাচাই করতে এখানে ক্লিক করুন: [URL]
normal,"Are you reading your favorite book? Yes, I read famous books.",English,"Are you reading your favorite book? Yes, I read famous books."
smish,"Invest TK 8,000 and get TK 24,000! Call: +8801919900112",English,"Invest TK 8,000 and get TK 24,000! Call: [PHONE]"
normal,Going on a picnic with friends this weekend.,English,Going on a picnic with friends this weekend.
promo,Confidence Group apartments in Bashundhara! 3 bedroom ready flats starting 95 lakh. Book with 5% down!,English,Confidence Group apartments in Bashundhara! 3 bedroom ready flats starting 95 lakh. Book with 5% down!
smish,"বিকাশ গ্রাহক, আপনার একাউন্টে ৮,৫০০ টাকা ভুলবশত পাঠানো হয়েছে। রিফান্ড পেতে bkash-secureverify.org এ গিয়ে পিন দিন। না করলে একাউন্ট ফ্রিজ হবে।",Bengali,"বিকাশ গ্রাহক, আপনার একাউন্টে ৮,৫০০ টাকা ভুলবশত পাঠানো হয়েছে। রিফান্ড পেতে [URL] এ গিয়ে পিন দিন। না করলে একাউন্ট ফ্রিজ হবে।"
normal,It's raining heavily outside. Better take an umbrella if you're going out.,English,It's raining heavily outside. Better take an umbrella if you're going out.
promo,2GB with bonus - TK40 - 7 days. Dial *121*5037# or mygp.li/mo,English,2GB with bonus - TK40 - 7 days. Dial *121*5037# or mygp.li/mo
smish,আপনার অ্যাকাউন্টটি ভেরিফাই করতে কল করুন +8801813344556,Bengali,আপনার অ্যাকাউন্টটি ভেরিফাই করতে কল করুন [PHONE]
normal,"No time, send money quickly, bKash 01937382893.",English,"No time, send money quickly, bKash [PHONE] ."
promo,"৪৫৳ ক্যাশব্যাক! ৪৬জিবি @ ৪৫৩৳, ৩০দিন, নিয়ে নাও এখনই: cutt.ly/4wQzxdl1",Bengali,"৪৫৳ ক্যাশব্যাক! ৪৬জিবি @ ৪৫৩৳, ৩০দিন, নিয়ে নাও এখনই: cutt.ly/4wQzxdl1"
normal,"রাগ করে কখনো ভালোবাসার মানুষকে কষ্ট দিতে নেই। রাগ কড়ে বেশি অবহেলা করতে নেই, ভালোবাসার মানুষকে। এতে করে জীবনের সবচেয়ে দামী জিনিস, ভালোবাসার মানুষকে হারাতে হয়।",Bengali,"রাগ করে কখনো ভালোবাসার মানুষকে কষ্ট দিতে নেই। রাগ কড়ে বেশি অবহেলা করতে নেই, ভালোবাসার মানুষকে। এতে করে জীবনের সবচেয়ে দামী জিনিস, ভালোবাসার মানুষকে হারাতে হয়।"
smish,Your son's exam results withheld for fee payment. Release with 4500 TK: exam-results.bd/release,English,Your son's exam results withheld for fee payment. Release with 4500 TK: [URL]
promo,আজকে মাত্র! আপনার Daraz অ্যাপে ১৫% ছাড় কোড: SAVE15। কিনুন যেকোনো প্রোডাক্টে এবং উপভোগ করুন সাশ্রয়।,Bengali,আজকে মাত্র! আপনার Daraz অ্যাপে ১৫% ছাড় কোড: SAVE15। কিনুন যেকোনো প্রোডাক্টে এবং উপভোগ করুন সাশ্রয়।
normal,The family reunion was amazing! So good to see everyone after such a long time. Great memories made.,English,The family reunion was amazing! So good to see everyone after such a long time. Great memories made.
promo,"Exclusive offer for new MyGP SIM: 2GB internet for only TK17, valid for 7 days (once per month). Visit https://mygp.li/ga",English,"Exclusive offer for new MyGP SIM: 2GB internet for only TK17, valid for 7 days (once per month). Visit [URL]"
promo,"GP গ্রাহকরা আজ পাচ্ছেন সুপার বোনাস: ২ জিবি মাত্র ২৯ টাকা, বৈধতা ২ দিন। সক্রিয় করতে *121*29# ডায়াল করুন। অফার আজ রাত পর্যন্ত।",Bengali,"GP গ্রাহকরা আজ পাচ্ছেন সুপার বোনাস: ২ জিবি মাত্র ২৯ টাকা, বৈধতা ২ দিন। সক্রিয় করতে *121*29# ডায়াল করুন। অফার আজ রাত পর্যন্ত।"
smish,দারুণ খবর! আমাদের ভ্রমণ প্যাকেজে ৭০% ডিসকাউন্ট! দ্রুত বুকিং করুন এই নম্বরে :01317235293,Bengali,দারুণ খবর! আমাদের ভ্রমণ প্যাকেজে ৭০% ডিসকাউন্ট! দ্রুত বুকিং করুন এই নম্বরে : [PHONE]
normal,একটা গল্প বলো। একবারে।,Bengali,একটা গল্প বলো। একবারে।
normal,Are you cooking?,English,Are you cooking?
promo,Dekko ceramic tiles mega discount! All bathroom and kitchen tiles 35% off. Free installation service!,English,Dekko ceramic tiles mega discount! All bathroom and kitchen tiles 35% off. Free installation service!
promo,"দুর্গা পূজায় কেনাকাটা করুন ২৫% ছাড়ে, ২৫ অক্টোবর পর্যন্ত। ০১৭১৩১৯৯২৭০",Bengali,"দুর্গা পূজায় কেনাকাটা করুন ২৫% ছাড়ে, ২৫ অক্টোবর পর্যন্ত। [PHONE]"
normal,তুমি কি আজ বিকেলে ক্রিকেট ম্যাচ দেখবে? বাংলাদেশ খেলছে পাকিস্তানের সাথে।,Bengali,তুমি কি আজ বিকেলে ক্রিকেট ম্যাচ দেখবে? বাংলাদেশ খেলছে পাকিস্তানের সাথে।
promo,Karnaphuli Gas distribution connection! New gas line installation 8500 TK. Cook with clean energy!,English,Karnaphuli Gas distribution connection! New gas line installation 8500 TK. Cook with clean energy!
smish,"bKash থেকে ১,০০০ টাকা পুরস্কার জিতেছেন! বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801717788990",Bengali,"bKash থেকে ১,০০০ টাকা পুরস্কার জিতেছেন! বিস্তারিত জানতে এখানে ক্লিক করুন: [URL]"
