text_clean,campaign
[URL] Ekta refer korle 200 taka 25ta refer korlei taka tulte parben to ar deri na kore ekhoni telegram e giye start koira den shobai😊🫶,6
Click here to increase your credit card limit: [URL],7
Free mining income [URL],6
"1,00,000 TK binyoge 2,00,000 TK pan! Call korun: [PHONE]",6
আপনার পাসওয়ার্ডটি অবিলম্বে পরিবর্তন করুন। এখানে ক্লিক করুন: [URL],2
"Robi ব্যবহারকারী, আপনার সিম অবিলম্বে যাচাই করতে [URL] এ গিয়ে নাম, জন্মতারিখ এবং OTP দিন। যাচাই না করলে ১২ ঘণ্টার মধ্যে সিম ব্লক হবে।",5
"10,000 TK has been deposited in Nagad account. Call for details: [PHONE]",1
আপনার email address টি verify করতে এখানে click করুন: [URL],2
Emergency! আপনার ইন্স্যুরেন্স পলিসি ক্যানসেল। সেভ করুন: save-policy.ml,5
network marketing kore protidin 500 theke 5000 TK 💸 income korte chan? kivabe marketing korben ami shikhie dibo free te kono TK lagbe na age kaj dekhaben protiman dekhaben bhalo lagle kaj korben keu kaj korte chaile inbox korun ❤️‍🩹,6
"আপনার CV pass হয়েছে এবং আপনি home থেকে আপনার mobile phone-এর মাধ্যমে work করতে পারবেন এবং daily 2,000 টাকা পাবেন। এখনই join করুন: wa.me/ [PHONE]",5
"Good Afternoon!! আমি HYPE Dhaka (RB DIGITAL LIMITED) থেকে marketing manager Mithila বলছি, আমাদের company তে একটি campaign চলছে, join করে বাসায় বসেই income করতে পারেন।",5
আপনার account-এর security verify করতে call করুন [PHONE],3
Urgent recruitment: Office assistant Accommodation and meals provided,1
ফ্রিতে জয়েন করে আপনার ফ্রি সময়কে কাজে লাগিয়ে Dxn কম্পানিতে নেটওয়ার্ক মার্কেটিং বিজনেস করে একটা প্যাসিব ইনকামের রাস্তা তৈরি করতে চান তাহলে ইনবক্স করুন,5
Apnar account block hoye jabe. Jogajog korun [PHONE] ।,8
Apnar email thikanati jachai korte ekhane click korun: [URL],8
Your package is on hold. Click here to provide additional information to complete shipping: [URL] xjfF50QsUP4,7
Daily 500-700 TK earn করুন new SIM নিয়ে! For details inbox করুন।,1
জরুরী ভিত্তিতে নিয়োগ: Office assistant থাকা খাওয়ার সুন্দর ব্যবস্থা আছে,5
Your driving license points exceeded limit. Restore with penalty 5500 TK: [URL],1
priyo grohok apnar namber-er 10GB internet ebong 100 minute free pete niche link-e click korun,6
Priyo grahok apnar bidyut shongog bichchinno kora hobe aj raat 10.30 minute theke bidyut office. Karon apnar ager masher bill chilo na update obilombe doya kore amader shathe jogajog korun bidyut kormokrta [PHONE] dhonnobad,8
Nagad account-এ error দেখা দিয়েছে। Call করুন: [PHONE],3
অ্যাপল আইফোন ১৩ জিতেছেন! ডেলিভারি নিশ্চিত করতে কল করুন: [PHONE],9
Nagad wallet er upor 2 bar suspicious transaction attempt kora hoyeche. Ei unauthorized activity block korte login korun [URL] immediately. Failure hole wallet deactivate hoye jabe.,8
গুরুত্বপূর্ণ: আপনার জন্মনিবন্ধন সার্টিফিকেট আপডেট। এখনই: update-birth-cert.cf,5
বাংলাদেশ ব্যাংক থেকে আপনার জন্য জরুরি বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: [URL],2
Apnar insurance policy update korte call korun [PHONE],8
"Dear customer, your card information needs to be updated. Please call the number below quickly and tell your pin number. Contact number: [PHONE]",1
আপনার ইমেল ঠিকানাটি যাচাই করতে এখানে ক্লিক করুন: [URL],2
💖 Want to learn কাজ for free and earn money? প্রতিদিন earn করুন TK400-500. যোগাযোগ করুন: [PHONE],1
Your bank card অবিলম্বে update করুন। এখানে click করুন: [URL],2
"Invest TK 8,000 and get TK 24,000! Call: [PHONE]",1
Crypto trading-এ বড় লাভ! আজই start করুন: [URL],5
"বিকাশ গ্রাহক, আপনার একাউন্টে ৮,৫০০ টাকা ভুলবশত পাঠানো হয়েছে। রিফান্ড পেতে [URL] এ গিয়ে পিন দিন। না করলে একাউন্ট ফ্রিজ হবে।",5
আপনার অ্যাকাউন্টটি ভেরিফাই করতে কল করুন [PHONE],9
Your son's exam results withheld for fee payment. Release with 4500 TK: [URL],1
আপনার Dutch-Bangla ATM card unusual transaction detect করেছে। Verify করতে এখনই click করুন [URL] and provide OTP 4512,3
Apnar number ti ekti bishesh offer e nirbachito hoyeche! Puroshkar pete call korun [PHONE],8
আপনার account hack হতে পারে। দ্রুত ৩০০০ টাকা পাঠান এই number-এ: [PHONE] ।,3
আপনার Bank account-এ ২ crore deposited! Confirm: [PHONE],3
bKash account e truti dekha diyeche. Druto somadhan er jonno call korun: [PHONE],6
দারুণ খবর! আমাদের ভ্রমণ প্যাকেজে ৭০% ডিসকাউন্ট! দ্রুত বুকিং করুন এই নম্বরে : [PHONE],5
"bKash থেকে ১,০০০ টাকা পুরস্কার জিতেছেন! বিস্তারিত জানতে এখানে ক্লিক করুন: [URL]",2
"Dear customer, your account has been temporarily closed due to suspicious transactions. According to Bangladesh Bank policy, it will be reactivated based on correct information. A manager will call you ( .. )",1
"বিকাশ ব্যবহারকারী, আপনার একাউন্টে ১৫,০০০ টাকা অননুমোদিতভাবে স্থানান্তর হয়েছে। অবিলম্বে [URL] এ লগইন করুন এবং পিন/OTP প্রদান করুন। সতর্কবার্তা: ২৪ ঘণ্টার মধ্যে ব্যবস্থা না নিলে একাউন্ট স্থগিত হবে।",5
You have $200 cash value from Amazon expiring in 2 days. We can credit up to $500. Click to claim your automatic savings.,1
মহান স্বাধীনতা দিবসের শুভেচ্ছা। বিশ্বস্ত ও স্মার্ট ব্যাংকিং সেবায় ২৪/৭ সোনালী ব্যাংক আপনার পাশে। মোঃ আফজাল করিম সিইও এন্ড এমডি,5
"Joruri niyog, thaka khawar shubidha shoh 30,000 taka beton/salary jogajog [PHONE]",6
আজই casino-তে bet করুন আর luxury trip জিতুন! Join: [URL],4
"আপনি Grameenphone থেকে 5G router জেতার জন্য selected হয়েছেন। Your winning code হলো GPWIN901। To claim, এই site visit করুন: [URL]",5
Dutch Bangla Bank urgent: Apnar ATM card expire hote cholche 48hr er moddhe. Renewal korte ekhuni [URL] visit korun. Renewal chara card permanently block hoye jabe.,8
"1,00,000 টাকা investment-এ 3,00,000 টাকা পান! Call করুন: [PHONE]",3
Suspicious login detected Gmail account. Reset password: [URL],3
Your Bitcoin mining account shows irregularities. Verify with fee 9800 TK: [URL],1
আপনার নম্বরটি পুরস্কার জিতেছে। বিস্তারিত জানতে কল করুন [PHONE],9
"""আপনার ATM কার্ড ব্লক করা হয়েছে। পুনরায় সক্রিয় করতে এই নম্বরে আপনার কার্ড নম্বর পাঠান: [PHONE] """,5
নগদ অ্যাকাউন্ট ব্লক হয়েছে। পুনরায় চালু করতে কল করুন: [PHONE],9
জরুরী ! আমাদের অ্যাপল অ্যাকাউন্টধারীর সাথে যোগাযোগ করতে হবে। আপনি যদি এই অ্যাকাউন্টটি পরিচালনা করেন তবে বার্তাটি পেতে আপনার পরিচয় যাচাই করুন৷,5
Bet on BPL to win free hotel booking with Mashrafe. Join now: [URL],4
Apnar credit carder sima briddhi korte ekhane click korun: [URL],8
Greetings on the great Independence Day. Sonali Bank is with you 24/7 in trusted and smart banking services. Md. Afzal Karim CEO and MD,1
Emergency tax notice: Pay arrears 32000 TK or face arrest warrant: [URL] File: TX9847,1
Eid upoloye BRAC Bank shobair bikash account e 1000 taka kore dichche bonus hisabe. Ami eimatrai bikash er website e amar number bosiye taka nilam. Apni jodi | ekhono na peye thaken tahole nicher link e dhuke apnar bikash nombor din ar shathe shathe peye jaben 1000 taka। Link: [URL],6
"Electricity bill payment overdue. Avoid disconnection, pay 2800 TK: [URL]",1
আপনার mobile banking account update করতে call করুন [PHONE],3
আপনার password অবিলম্বে reset করুন। এখানে click করুন: [URL],2
BRAC lottery result: Apni 2nd prize e brand new car jitachen. Claim korte verification fee pathate hobe Bkash number [PHONE] e. Fee na pathale apnar prize cancel hoye jabe. Claim ekhuni confirm korun.,8
"Dear customer, your electricity connection will be disconnected from the electricity office today at 11:30 PM because last month's bill has not been paid. Please contact our electricity officer immediately at [PHONE] . Thank you.",1
Jonota Bank theke guruttopurno barta. Call korun: [PHONE],6
"Priyo abedonkari, Mongol 04/05 tarikh-e sokal 9 tay @1st tolay kendro shotru netritwer sathe ekti inter-view-er jonno apnake bachai kora hoyeche. Onusondhaner jonno onugroho kore jogajog korun: [PHONE]",6
আপনার Bank account-এর details update করুন। Please এখানে login করুন: [URL],3
"বাংলালিংক জানাচ্ছে, আপনার অ্যাকাউন্ট ব্লক হওয়ার পথে। অবিলম্বে [URL] এ লগইন করুন।",5
আপনার মোবাইল নম্বরটি হাই-এন্ড ল্যাপটপ জিতেছে! পুরস্কার পেতে কল করুন [PHONE],9
"আপনার mobile number-টি 10,000 টাকা lottery জিতেছে! বিস্তারিত জানতে call করুন [PHONE]",3
সর্তকতা: আপনার পাসপোর্ট এক্সপায়ার হয়েছে। রিনিউ: passport-renew.cf,5
"Congrats! You have won ৳1,00,000 in our lottery। To receive the money, আপনার credit card number and CVC code পাঠান। To claim, এই link এ visit করুন: [URL]",1
আপনার job application approved হয়েছে এবং salary প্রতি month-এ 400 টাকা। Contact information: [PHONE],5
"Nagad account এ TK10,000 জমা হয়েছে। বিস্তারিত জানতে call করুন: [PHONE]",3
[URL] এই লিংক থেকে একাউন্ট করলেই পাবেন ৮৫ টাকা। শুধু ২ মিনিটে ৪ টাস্ক কমপ্লিট করতে হবে। এভাবে প্রতিদিন ৪ করে টাস্ক আসবে আর ৮৫ টাকা করে পাবেন। বাকি কিছু জানতে ইনবক্সে নক দিন💝💝,5
Bet on football and win a luxury car! Start: xini.eu/00Qe,4
আপনার হাতে যদি ডেইলি 3-4 ঘন্টা সময় ফ্রি থাকে তাহলে যানাবেন। আশা করি খুব ভালো একটা কাজের সন্ধান দিতে পারবো। ইনবক্স করেন,5
Jonota Bank theke joruri borto. Call korun: [PHONE],6
"নগদ অ্যাকাউন্ট থেকে ৫,০০০ টাকা পুরস্কার জিতেছেন! বিস্তারিত জানতে কল করুন: [PHONE]",9
"❤️If anyone wants to work online without any fee, inbox me. I will help as much as I can, InshaAllah 🫶🫶🫶 📣💁‍♂️ The days are changing for network marketers. 🧑‍💻 ❤️‍🔥 Around 3.2 million young people around the world are working in network marketing. They are earning dollars from home and giving opportunities to others too. 🥀 InshaAllah you will earn as well 🥀 😊 Free income site link- [URL]",1
আপনার gas bill due রয়েছে। Immediately payment করুন। Call করুন [PHONE],3
"To earn money from home, convert your used SIM to flexiload SIM and earn 500 to 700 taka daily easily by selling offers both online and offline. If you want to convert your used SIM to flexiload SIM, inbox us. Thank you.",1
আপনার internet connection পুনরায় activate করতে call করুন [PHONE],3
Football-এ betting করুন এবং একটি নতুন laptop জিতুন! এখানে click করুন: [URL],2
"Sonali Bank theke 1,000 taka puroshkar jitechen! Bistarito jante call korun: [PHONE]",6
Bet on football and win a new laptop! Click here: [URL],4
protidin 500-700 taka income korun notun sim nie! bistarito jante inbox korun.,6
"Your land sale money has been deposited, call: [PHONE]",1
Mashrafi-r sathe free hotel booking jitte BPL-e baji dharun. Ekhoni join din: [URL],6
"আপনার Agrani Bank account এ unusual activity detect হয়েছে। যদি না করেন, তাহলে এখনই লগিন করুন [URL] এবং reference code 9931 submit করুন।",3
শাকিব আল হাসানের সাথে ফ্রি ম্যাচ টিকিট জিততে আজই আইপিএলে বাজি ধরুন। যোগ দিন: [URL],0
Sonali Bank account এ issue দেখা দিয়েছে। Urgently বিস্তারিত জানতে click করুন: [URL],3
বিপিএলে বাজি ধরুন এবং একটি নতুন বাইক জিতুন! যোগ দিন: [URL],0
আপনার ব্যাংক অ্যাকাউন্টের তথ্য যাচাই করতে হবে। অনুগ্রহ করে এখানে ক্লিক করুন: [URL],2
"আপনার recent Amazon purchase-এর জন্য আপনাকে thank you. আপনাকে $180.34 charge করা হয়েছে। যদি কোন mistake হয়ে থাকে, please call করুন (407)438-4356",3
প্রিয় customer আপনার electric connection disconnect করা হবে today রাত ১০.৩০ minute-এ থেকে electricity office। কারণ আপনার last month-র bill pay ছিল না Update immediately please আমাদের সাথে contact করুন electric officer [PHONE] Thank you,5
"1,000 taka has been deposited in Nagad account. Call for details: [PHONE]",1
ক্রিপ্টো ট্রেডিং এ বিশেষ অফার! এখনই লগইন করুন: [URL],5
Just having a mobile you can also earn at least TK [PHONE] per month. For details [PHONE],1
Apnar CV amader chakrir jonno nirbachito hoyeche. Dine 2-3 ghonta kaj korei bari boshe roj 8 hajar taka beton paben. Offer letter grohon korte ei link e click korun।,6
আপনি ১ ভরি সোনা জিতেছেন! পুরস্কার নিতে কল করুন: [PHONE],9
"You have won 2,000 taka prize from Janata Bank! Click here for details: [URL]",7
আপনার bank information update করুন। এখানে click করুন: [URL],2
Download the largest social gaming app to play 100+ mobile games and win cash prizes up to 25 crore taka daily.,1
আপনার ব্যাংক অ্যাকাউন্টে ২ কোটি টাকা জমা হয়েছে! নিশ্চিত করতে কল করুন: [PHONE],9
"Congratulations, আপনি একটি নতুন iPhone 15 Pro Max এর lucky winner। To claim your prize, আপনার personal details আমাদের WhatsApp এ share করুন।",5
আপনার bank account এ unknown transaction সনাক্ত করা হয়েছে। details জানতে এখানে click করুন: [URL],2
"Dear user, your remittance account has been temporarily suspended by the Social Service Office. Please provide the account with the PIN that was given for response. PIN: 23456",1
Bank transfer of 125000 TK blocked by anti-money laundering. Clear with fee 8800 TK: [URL],1
Your identity needs to be verified. Click here: [URL],7
"[URL] Ghore boshe ay, dine 300 theke 400 taka income korte chaile Ei link e click kore start korun dhonnobad ☺️☺️",6
"প্রিয় গ্রাহক, আপনি বাংলাদেশ ব্যাংক থেকে নির্বাচিত হয়েছেন ২,০০,০০০ টাকা বোনাস লোনের জন্য। এটি দাবি করতে আপনার বিকাশ নাম্বার ও পিন দিন [URL] এ।",5
আপনার account-এ suspicious activity detected। Verify now: [URL],3
Alert! আপনার প্রভিডেন্ট ফান্ড হ্যাক হয়েছে। সেভ করুন: save-pf.ml,5
Apnar email thikanati jachai korte ekhane click korun: [URL],8
আপনার internet connection আবার চালু করতে call করুন [PHONE],3
Bkash refund 1500TK. Claim korte click korun: [URL],8
"আপনার মৌলিক স্থায়ীত্বের মধ্যে ক্যামব্রিজ ইউনিভার্সিটি এপ্লিকেশন ফি মুক্ত! পড়ার স্বপ্ন পূরণ করতে আজই যোগাযোগ করুন - [PHONE] """,5
Alert! আপনার UCB card unusual purchase detect হয়েছে। Protect করতে click করুন [URL] এবং OTP 3847 submit করুন,3
Bangladesh Bank theke guruttopurno barta. bistarito jante ekhane click korun: [URL],6
Apnar credit carder bill payment miss hoyeche. Ekhane click kore payment korun: [URL],8
ফ্ল্যাশ বিক্রয়! পরবর্তী 24 ঘন্টার জন্য Daraz-এ 70% পর্যন্ত ছাড় পান। আপনার ডিসকাউন্ট দাবি করতে এখানে ক্লিক করুন: [URL],2
Your vehicle ownership disputed. Legal fee 33695 TK: [URL],1
"Your loan application successful হয়েছে। To receive the fund, please send us a processing fee of ৳4,500। More info এর জন্য, এই number এ call করুন।",1
Update your Facebook profile here: [URL],7
Fraud alert! Someone accessing your bank. Verify immediately: [URL],1
"""Abhinondon! Apni pasen"" ""Bkash"""" & BRAC""""N.G.O"""" pokko teke """"STUDENT britt"""" (Taka-10,499/) apnar poriman ID: ekhon apnar prothoi nirbachon korun: Bistrito janta kol korun office: [PHONE] (am 11 to 5pm) othoba""""thik achhe""""lekha SMS korbo? Amra apnar kacha kol korbo.!""",8
Good Afternoon!! আমি HYPE Dhaka (RB DIGITAL LIMITED) থেকে মার্কেটিং ম্যানেজার মিথিলা আমাদের কোম্পানির একটি ক্যাম্পিং চলছে সেখানে আপনি জয়েন করে বাড়িতে বসেই আয় করতে পারেন,5
Nagad wallet er account suspend hoye jabe if verification na koren. Please confirm apnar NID and OTP within 24 hours via secure link: [URL] Failure hole account permanently close hoye jabe.,8
"প্রিয় customer, সমাজকল্যাণ office থেকে আপনাকে বয়স্ক ভাতার জন্য select করা হয়েছে। নিচের link-এ click করে আপনার তথ্য provide করুন।",5
"You will not get your money delayed, call quickly: [PHONE]",1
আপনার ব্যাংক অ্যাকাউন্টে ১ কোটি টাকা জমা হয়েছে! নিশ্চিত করতে কল করুন: [PHONE],9
"Nagad account থেকে 5,000 টাকা prize জিতেছেন! বিস্তারিত জানতে call করুন: [PHONE]",3
জনতা ব্যাংক থেকে জরুরি বার্তা। কল করুন: [PHONE],9
আপনার কাছে Amazon থেকে $200 cash value রয়েছে ২ days-এর মধ্যে expire হবে৷ We can give you up to $500 refund। A recent decision-এর কারণে last year আমরা আপনাকে বেশি charge করতে পেরেছি। Your automatic savings ready.,1
City Bank ATM card unusual withdrawal detect হয়েছে। Protect করতে click করুন [URL] এবং validate code 3742,3
Bangladesh Bank account block হয়েছে। Again activate করতে call করুন: [PHONE],3
You have received an urgent message. Click here to see it: [URL],7
আপনার ব্যাংক অ্যাকাউন্টে সন্দেহজনক লগইন হয়েছে। নিরাপত্তার জন্য দ্রুত [URL] এ লগইন করুন এবং কার্ড তথ্য প্রদান করুন।,5
"[URL] Free again comes to you a new income bot that gives 75 taka per referral, so don't delay and get to work ☺️🫰",1
আপনার মোবাইল রিচার্জ করতে কল করুন: [PHONE],9
"১০০% গেরান্টিসহ মালেশিয়ান, ইউরোপিয়ান,আমেরিকা, কানাডা ভিসা পেতে আজই যোগাযোগ করুন [PHONE] , অগ্রীম ফি লাগবে না।",5
আপনার মোবাইল রিচার্জ করতে কল করুন: [PHONE],9
Your Modhumoti Bank agricultural loan defaulted. Settle: [URL],1
Apni 4 bhori shona jitechen! Bistarito jante call korun: [PHONE],6
আপনার অ্যাকাউন্টের সুরক্ষা যাচাই করতে কল করুন [PHONE],9
"Amar 200 jon lok-er proyojon ache, kono odfee dite hobe na, binamulle binyoj na kore kaj korte chaile amake inbox [URL]",6
"৫,০০০ টাকা বিনিয়োগে ১৫,০০০ টাকা অর্জন করুন! কল করুন: [PHONE]",9
"Ei linkti onushron korun apnar binamulyer puroshkar dabi korte, jogajog korun: [PHONE]",8
"ফ্রিতে মাইনিং করে ইনকাম করুন। ১০০% ফ্রি। টেলিগ্রাম অ্যাপ থাকলেই হবে। লিংক এ ক্লিক করে start করতে হবে, ৬ ঘন্টা পর পর টোকেন ক্লেইম করতে হবে। আর কোনো কাজ নেই। [URL]",5
Facebook থেকে নিরাপত্তা সতর্কতা: আপনার একাউন্ট বাংলাদেশ থেকে অননুমোদিত অ্যাক্সেস পেয়েছে। একাউন্ট রক্ষা করতে এখনই [URL] এ OTP দিন।,5
[URL] এই link থেকে account করলেই পাবেন ৮৫ টাকা। শুধু ২ মিনিটে ৪ টি task complete করতে হবে। এভাবে প্রতিদিন ৄ করে task আসবে আর ৮৫ টাকা করে পাবেন। বাকি কিছু জানতে inbox-এ knock দিন💝💝,5
আপনার debit card-এর limit বৃদ্ধি করতে এখানে click করুন: [URL],2
"50,000 taka biniyog e 1,50,000 taka orjon korun! Call korun: [PHONE]",6
আপনার mobile SIM পুনরায় activate করতে call করুন [PHONE],3
বাংলাদেশ ব্যাংক থেকে জরুরি বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: [URL],2
Kono down payment charai 100% gari loan shubidha. Ajei abednon korun. Jogajog: [PHONE],6
free income korte chaile niche link e click korun .protidin 1000-1500 Taka income . proti refer e 250 Taka . [URL],6
bKash অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। দ্রুত সমাধানের জন্য কল করুন: [PHONE],9
Apple iPhone 12 jitechen! Delivery nishchit korte call korun: [PHONE],8
Your Dutch Bangla Bank card is blocked. Reactivate: [URL] or call [PHONE],1
Robi অ্যাকাউন্টে অস্বাভাবিক কার্যক্রম শনাক্ত হয়েছে। পুনরায় চালু করতে [URL] এ লগইন করুন এবং নাম্বার ও OTP যাচাই করুন। ২৪ ঘণ্টার মধ্যে ব্যবস্থা নিন।,5
Bank account info verification দরকার। Click here: [URL],7
Apnar lenden ti sompurno korte ekhane click korun: [URL],8
আপনার ছেলে সমস্যায় আছে জলদি টাকা পাঠান এই নাম্বারে,5
Error detected in bKash account. Call for quick solution: [PHONE],1
Call to verify your bank account [PHONE],1
আপনার গ্যাস সংযোগ পুনরায় সক্রিয় করতে কল করুন [PHONE],9
Error has occurred in Bangladesh Bank account. Call: [PHONE],1
আপনার মোবাইল সিম পুনরায় চালু করতে কল করুন [PHONE],9
Sonali Bank accounte shomoshya hoyeche. Call korun: [PHONE],8
"You have been selected for government bonus scheme, contact [PHONE] to receive up to 50,000 Bonus scheme Bangladesh Ministry of Finance",1
Agrani Bank lottery system er message: Apni 20 lakh TK win korechen in lucky draw. Prize claim korte ekbar verification korte hobe. Kindly submit apnar details ekhuni: [URL] Na korle apnar prize cancel hoye jabe.,8
Shakiber soi kora gloves jitte IPL e baji dhorun. Ekhonei click korun: [URL],6
"১,০০,০০০ টাকা বিনিয়োগে ৩,০০,০০০ টাকা পান! কল করুন: [PHONE]",9
আপনার মোবাইল নম্বর যাচাই করতে এখানে ক্লিক করুন: [URL],2
Your driving license suspended. Reinstate with 4200 TK penalty: [URL],1
"bKash account এ TK 5,000 deposited হয়েছে। Details জানতে call করুন: [PHONE]",3
দিনে ৫০০ থেকে ৬০০ টাকা income করতে চাইলে এই link-এ join করে থাকুন [URL],5
Trust Bank card এ unusual activity detect হয়েছে। Immediate action নিতে visit [URL],3
◆ যোগ‍্যতা থাকলে online পড়িয়ে earning করা যায়। এজন‍্য User- [PHONE] মহাশয়ের সাথে যোগাযোগ করতে পারেন।,9
Your basic sustainability includes Cambridge University application fee waiver! Contact today to fulfill your dream of studying - [PHONE],1
Login for the security of your bank account: [URL],1
"Apnar loan onumidito hoyeche! Matro 5% shude 5,00,000 taka loan pete ekhonei ei linke click korun",6
"No fee required. 🎁🎁 Earn $1 to $2 daily, with additional earning opportunities. Message us if interested.",1
Apnar mobile number ti high-end laptop jiteche! Puraskar pete kol korun [PHONE],8
Click to earn free income [URL] 🤞,1
"City Bank e unauthorized foreign card transaction attempt hoyeche. Apnar card protect korte ekhuni OTP confirm korte hobe. Please reply kore din OTP: 991122. Jodi apni action na nin, card permanently block hoye jabe.",8
