label,text,source,text_clean,stripped,campaign
smish,আপনার স্টুডেন্ট লোন একাউন্ট সাসপেন্ড। রিঅ্যাক্টিভেট: student-loan.tk,Bengali,আপনার স্টুডেন্ট লোন একাউন্ট সাসপেন্ড। রিঅ্যাক্টিভেট: student-loan.tk,আপনার স্টুডেন্ট লোন একাউন্ট সাসপেন্ড। রিঅ্যাক্টিভেট: student-loan.tk,1.0
smish,100% scholarship for studying abroad. No fee required. Contact today to apply. Contact: 01567546390,English,100% scholarship for studying abroad. No fee required. Contact today to apply. Contact: [PHONE],100% scholarship for studying abroad. No fee required. Contact today to apply. Contact:,0.0
smish,Bet at the casino and win a free iPhone! Start: phlebolog.com.ua/libraries/joomla/results.php,English,Bet at the casino and win a free iPhone! Start: [URL],Bet at the casino and win a free iPhone! Start:,6.0
smish,"আপনার অ্যাকাউন্টটি অবিলম্বে আপডেট করুন, না হলে এটি বন্ধ হয়ে যাবে। লিঙ্কে ক্লিক করুন: [bit.ly/AccountUpdateBD]",Bengali,"আপনার অ্যাকাউন্টটি অবিলম্বে আপডেট করুন, না হলে এটি বন্ধ হয়ে যাবে। লিঙ্কে ক্লিক করুন: [bit.ly/AccountUpdateBD]","আপনার অ্যাকাউন্টটি অবিলম্বে আপডেট করুন, না হলে এটি বন্ধ হয়ে যাবে। লিঙ্কে ক্লিক করুন: [bit.ly/AccountUpdateBD]",1.0
smish,আপনার মোবাইল নম্বর যাচাই করতে এখানে ক্লিক করুন: [mobileverify.com/VerifyBD],Bengali,আপনার মোবাইল নম্বর যাচাই করতে এখানে ক্লিক করুন: [URL],আপনার মোবাইল নম্বর যাচাই করতে এখানে ক্লিক করুন:,14.0
smish,Land registration office requires bribe 22000 TK for quick processing: land-bribe.bd/urgent,English,Land registration office requires bribe 22000 TK for quick processing: [URL],Land registration office requires bribe 22000 TK for quick processing:,0.0
smish,"https://t.me/DailyEarn_Money_bot?start=r08368814246
Click on the link above if you want to earn TK200 to TK300 daily, click now",English,"[URL] Click on the link above if you want to earn TK200 to TK300 daily, click now","Click on the link above if you want to earn TK200 to TK300 daily, click now",13.0
smish,আপনি আমাদের lucky customer! আপনার free 1 বছরের internet subscription claim করুন। Call করুন 019XXXXXXXX।,CodeMix,আপনি আমাদের lucky customer! আপনার free 1 বছরের internet subscription claim করুন। Call করুন 019XX।,আপনি আমাদের lucky customer! আপনার free 1 বছরের internet subscription claim করুন। Call করুন 019XX।,12.0
smish,Click here to recharge your mobile balance: [securetopup.com/TopupBD],English,Click here to recharge your mobile balance: [URL],Click here to recharge your mobile balance:,5.0
smish,Congratulations! আপনি Radisson Blu তে দুইজনের জন্য free dinner জিতেছেন। Table book করতে call করুন 017XXXXXXXX।,CodeMix,Congratulations! আপনি Radisson Blu তে দুইজনের জন্য free dinner জিতেছেন। Table book করতে call করুন 017XX।,Congratulations! আপনি Radisson Blu তে দুইজনের জন্য free dinner জিতেছেন। Table book করতে call করুন 017XX।,12.0
smish,Win free match tickets with Shakib! Start betting on cricket: ebayisapidlld.altervista.org/,English,Win free match tickets with Shakib! Start betting on cricket: [URL],Win free match tickets with Shakib! Start betting on cricket:,6.0
smish,"অভিনন্দন!! দারাজ থেকে BDT 5,000 গিফট ভাউচার পান। দাবির জন্য লিঙ্কে ক্লিক করুন: www.face3b00kurl.com।",Bengali,"অভিনন্দন!! দারাজ থেকে BDT 5,000 গিফট ভাউচার পান। দাবির জন্য লিঙ্কে ক্লিক করুন: [URL]","অভিনন্দন!! দারাজ থেকে BDT 5,000 গিফট ভাউচার পান। দাবির জন্য লিঙ্কে ক্লিক করুন:",1.0
smish,"ঈদ উপলয়ে ব্রাক ব্যাংক সবার বিকাশ একাউন্টে ১০০০ টাকা করে দিচ্ছে বোনাস হিসাবে। আমি এইমাত্র বিকাশের ওয়েবসাইটে আমার নাম্বার বসিয়ে টাকা নিলাম। আপনি যদি | এখনো না পেয়ে থাকেন তাহলে নিচের লিংকে ঢুকে আপনার বিকাশ নম্বর দিন আর সাথে সাথে পেয়ে যাবেন ১০০০ টাকা।
লিংকঃ https://bit.ly/bKash_1000",Bengali,ঈদ উপলয়ে ব্রাক ব্যাংক সবার বিকাশ একাউন্টে ১০০০ টাকা করে দিচ্ছে বোনাস হিসাবে। আমি এইমাত্র বিকাশের ওয়েবসাইটে আমার নাম্বার বসিয়ে টাকা নিলাম। আপনি যদি | এখনো না পেয়ে থাকেন তাহলে নিচের লিংকে ঢুকে আপনার বিকাশ নম্বর দিন আর সাথে সাথে পেয়ে যাবেন ১০০০ টাকা। লিংকঃ [URL],ঈদ উপলয়ে ব্রাক ব্যাংক সবার বিকাশ একাউন্টে ১০০০ টাকা করে দিচ্ছে বোনাস হিসাবে। আমি এইমাত্র বিকাশের ওয়েবসাইটে আমার নাম্বার বসিয়ে টাকা নিলাম। আপনি যদি | এখনো না পেয়ে থাকেন তাহলে নিচের লিংকে ঢুকে আপনার বিকাশ নম্বর দিন আর সাথে সাথে পেয়ে যাবেন ১০০০ টাকা। লিংকঃ,1.0
smish,"আপনি Grameenphone থেকে 5G router জেতার জন্য selected হয়েছেন। Your winning code হলো GPWIN023। To claim, এই site visit করুন: http://gp-offer-claims.net",CodeMix,"আপনি Grameenphone থেকে 5G router জেতার জন্য selected হয়েছেন। Your winning code হলো GPWIN023। To claim, এই site visit করুন: [URL]","আপনি Grameenphone থেকে 5G router জেতার জন্য selected হয়েছেন। Your winning code হলো GPWIN023। To claim, এই site visit করুন:",1.0
smish,"I need 200 people, no advance needed, if you want to work without free investment, inbox me. https://jycmyfyxx.toeverge.top/7e3ackVlQwlzSkV6BEIDeH9QD39bByUBDk9vJ289FAZZUFJNZBYCASsVPDQ4UiQAAy1cIzJSGkRyNSF_ClxRVnIhWwsR&p=rqrrms&_mi1711019676868",English,"I need 200 people, no advance needed, if you want to work without free investment, inbox me. [URL]","I need 200 people, no advance needed, if you want to work without free investment, inbox me.",13.0
smish,সোনালী ব্যাংক অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। জরুরি ভিত্তিতে বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801819876543,Bengali,সোনালী ব্যাংক অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। জরুরি ভিত্তিতে বিস্তারিত জানতে এখানে ক্লিক করুন: [URL],সোনালী ব্যাংক অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। জরুরি ভিত্তিতে বিস্তারিত জানতে এখানে ক্লিক করুন:,3.0
smish,"Dear Customer,

Your income tax refund has been approved for a total of Rs 20,490/-, this amount will be credited soon. Please verify your account number 5XXXXXXXXXX755. If this is wrong, then click the link below to update your bank account information.

Link: [https://bit.ly/20wpYK6](https://bit.ly/20wpYK6)

Thank you.",English,"Dear Customer, Your income tax refund has been approved for a total of Rs 20,490/-, this amount will be credited soon. Please verify your account number 5XX755. If this is wrong, then click the link below to update your bank account information. Link: [ [URL] Thank you.","Dear Customer, Your income tax refund has been approved for a total of Rs 20,490/-, this amount will be credited soon. Please verify your account number 5XX755. If this is wrong, then click the link below to update your bank account information. Link: [  Thank you.",13.0
smish,বাংলাদেশ ব্যাংক অ্যাকাউন্ট আপডেট করতে এখানে ক্লিক করুন: https://wa.me/8801914567890,Bengali,বাংলাদেশ ব্যাংক অ্যাকাউন্ট আপডেট করতে এখানে ক্লিক করুন: [URL],বাংলাদেশ ব্যাংক অ্যাকাউন্ট আপডেট করতে এখানে ক্লিক করুন:,14.0
smish,Congratulations! You won 1 crore TK lottery. Contact us to claim prize: 01567546390,English,Congratulations! You won 1 crore TK lottery. Contact us to claim prize: [PHONE],Congratulations! You won 1 crore TK lottery. Contact us to claim prize:,13.0
smish,প্রিয়জনের মুখে হাসি ফুটাতে ডায়াল *213*6551# চার্জ ৮২.৬৭ প্রতিদিন,Bengali,প্রিয়জনের মুখে হাসি ফুটাতে ডায়াল *213*6551# চার্জ ৮২.৬৭ প্রতিদিন,প্রিয়জনের মুখে হাসি ফুটাতে ডায়াল *213*6551# চার্জ ৮২.৬৭ প্রতিদিন,1.0
smish,Your son arrested for drug possession. Pay bail 150000 TK immediately: police-bail.bd/urgent,English,Your son arrested for drug possession. Pay bail 1500 TK immediately: [URL],Your son arrested for drug possession. Pay bail 1500 TK immediately:,0.0
smish,There is a problem with Bangladesh Bank account. Call: +8801818899001,English,There is a problem with Bangladesh Bank account. Call: [PHONE],There is a problem with Bangladesh Bank account. Call:,12.0
smish,"আপনার package hold এ আছে, এখানে আপনার package shipping complete করার জন্য আপনাকে আরো information provide করতে হবে:https://ow.ly/ xjfF50QsUP4",CodeMix,"আপনার package hold এ আছে, এখানে আপনার package shipping complete করার জন্য আপনাকে আরো information provide করতে হবে: [URL] xjfF50QsUP4","আপনার package hold এ আছে, এখানে আপনার package shipping complete করার জন্য আপনাকে আরো information provide করতে হবে:  xjfF50QsUP4",1.0
smish,Sonali Bank theke apnar jonno joruri barta. Call korun: +8801716677889,Banglish,Sonali Bank theke apnar jonno joruri barta. Call korun: [PHONE],Sonali Bank theke apnar jonno joruri barta. Call korun:,9.0
smish,শাকিবের সাথে লাঞ্চ করার সুযোগ পেতে আজই আইপিএলে বাজি ধরুন। শুরু করুন: ebayisapidlld.altervista.org/,Bengali,শাকিবের সাথে লাঞ্চ করার সুযোগ পেতে আজই আইপিএলে বাজি ধরুন। শুরু করুন: [URL],শাকিবের সাথে লাঞ্চ করার সুযোগ পেতে আজই আইপিএলে বাজি ধরুন। শুরু করুন:,1.0
smish,খণ্ডকালীন জব।বেতন 5000 BDT/দিন।ঘরে বসে কাজ : wa.me/85295102105,Bengali,খণ্ডকালীন জব।বেতন 5000 BDT/দিন।ঘরে বসে কাজ : wa.me/ [PHONE],খণ্ডকালীন জব।বেতন 5000 BDT/দিন।ঘরে বসে কাজ : wa.me/,1.0
smish,জরুরি নোটিশ: আপনার বিদ্যুৎ বিল বকেয়া। সংযোগ বিচ্ছিন্নের আগে পেমেন্ট: pay-bill.ga,Bengali,জরুরি নোটিশ: আপনার বিদ্যুৎ বিল বকেয়া। সংযোগ বিচ্ছিন্নের আগে পেমেন্ট: pay-bill.ga,জরুরি নোটিশ: আপনার বিদ্যুৎ বিল বকেয়া। সংযোগ বিচ্ছিন্নের আগে পেমেন্ট: pay-bill.ga,1.0
smish,"আপনার লোন অনুমোদিত হয়েছে! মাত্র ৫% সুদে ৫,০০,০০০ টাকা লোন পেতে এখনই এই লিঙ্কে ক্লিক করুন",Bengali,"আপনার লোন অনুমোদিত হয়েছে! মাত্র ৫% সুদে ৫,০০,০০০ টাকা লোন পেতে এখনই এই লিঙ্কে ক্লিক করুন","আপনার লোন অনুমোদিত হয়েছে! মাত্র ৫% সুদে ৫,০০,০০০ টাকা লোন পেতে এখনই এই লিঙ্কে ক্লিক করুন",1.0
smish,https://t.me/darazbotpay_bot?start=r05257773745 Ekta refer korle 200 taka 25ta refer korlei taka tulte parben to ar deri na kore ekhoni telegram e giye start koira den shobai😊🫶,Banglish,[URL] Ekta refer korle 200 taka 25ta refer korlei taka tulte parben to ar deri na kore ekhoni telegram e giye start koira den shobai😊🫶,Ekta refer korle 200 taka 25ta refer korlei taka tulte parben to ar deri na kore ekhoni telegram e giye start koira den shobai😊🫶,8.0
smish,Click here to increase your credit card limit: [creditcardlimit.com/IncreaseBD],English,Click here to increase your credit card limit: [URL],Click here to increase your credit card limit:,5.0
smish,Free mining income https://t.me/hamster_koMbat_bot/start?startapp=kentId6816861581,English,Free mining income [URL],Free mining income,8.0
smish,"1,00,000 TK binyoge 2,00,000 TK pan! Call korun: +8801919899901",Banglish,"1,00,000 TK binyoge 2,00,000 TK pan! Call korun: [PHONE]","1,00,000 TK binyoge 2,00,000 TK pan! Call korun:",9.0
smish,আপনার পাসওয়ার্ডটি অবিলম্বে পরিবর্তন করুন। এখানে ক্লিক করুন: [passwordchange.com/ChangeBD],Bengali,আপনার পাসওয়ার্ডটি অবিলম্বে পরিবর্তন করুন। এখানে ক্লিক করুন: [URL],আপনার পাসওয়ার্ডটি অবিলম্বে পরিবর্তন করুন। এখানে ক্লিক করুন:,14.0
smish,"Robi ব্যবহারকারী, আপনার সিম অবিলম্বে যাচাই করতে robicare-verification.org এ গিয়ে নাম, জন্মতারিখ এবং OTP দিন। যাচাই না করলে ১২ ঘণ্টার মধ্যে সিম ব্লক হবে।",Bengali,"Robi ব্যবহারকারী, আপনার সিম অবিলম্বে যাচাই করতে [URL] এ গিয়ে নাম, জন্মতারিখ এবং OTP দিন। যাচাই না করলে ১২ ঘণ্টার মধ্যে সিম ব্লক হবে।","Robi ব্যবহারকারী, আপনার সিম অবিলম্বে যাচাই করতে  এ গিয়ে নাম, জন্মতারিখ এবং OTP দিন। যাচাই না করলে ১২ ঘণ্টার মধ্যে সিম ব্লক হবে।",1.0
smish,"10,000 TK has been deposited in Nagad account. Call for details: +8801817677789",English,"10,000 TK has been deposited in Nagad account. Call for details: [PHONE]","10,000 TK has been deposited in Nagad account. Call for details:",13.0
smish,আপনার email address টি verify করতে এখানে click করুন: [emailsecure.net/VerifyBD],CodeMix,আপনার email address টি verify করতে এখানে click করুন: [URL],আপনার email address টি verify করতে এখানে click করুন:,14.0
smish,Emergency! আপনার ইন্স্যুরেন্স পলিসি ক্যানসেল। সেভ করুন: save-policy.ml,Bengali,Emergency! আপনার ইন্স্যুরেন্স পলিসি ক্যানসেল। সেভ করুন: save-policy.ml,Emergency! আপনার ইন্স্যুরেন্স পলিসি ক্যানসেল। সেভ করুন: save-policy.ml,1.0
smish,network marketing kore protidin 500 theke 5000 TK 💸 income korte chan? kivabe marketing korben ami shikhie dibo free te kono TK lagbe na age kaj dekhaben protiman dekhaben bhalo lagle kaj korben keu kaj korte chaile inbox korun ❤️‍🩹,Banglish,network marketing kore protidin 500 theke 5000 TK 💸 income korte chan? kivabe marketing korben ami shikhie dibo free te kono TK lagbe na age kaj dekhaben protiman dekhaben bhalo lagle kaj korben keu kaj korte chaile inbox korun ❤️‍🩹,network marketing kore protidin 500 theke 5000 TK 💸 income korte chan? kivabe marketing korben ami shikhie dibo free te kono TK lagbe na age kaj dekhaben protiman dekhaben bhalo lagle kaj korben keu kaj korte chaile inbox korun ❤️‍🩹,8.0
smish,"আপনার CV pass হয়েছে এবং আপনি home থেকে আপনার mobile phone-এর মাধ্যমে work করতে পারবেন এবং daily 2,000 টাকা পাবেন। এখনই join করুন: wa.me/8801865655560",CodeMix,"আপনার CV pass হয়েছে এবং আপনি home থেকে আপনার mobile phone-এর মাধ্যমে work করতে পারবেন এবং daily 2,000 টাকা পাবেন। এখনই join করুন: wa.me/ [PHONE]","আপনার CV pass হয়েছে এবং আপনি home থেকে আপনার mobile phone-এর মাধ্যমে work করতে পারবেন এবং daily 2,000 টাকা পাবেন। এখনই join করুন: wa.me/",1.0
smish,"Good Afternoon!! আমি HYPE Dhaka (RB DIGITAL LIMITED) থেকে marketing manager Mithila বলছি, আমাদের company তে একটি campaign চলছে, join করে বাসায় বসেই income করতে পারেন।",CodeMix,"Good Afternoon!! আমি HYPE Dhaka (RB DIGITAL LIMITED) থেকে marketing manager Mithila বলছি, আমাদের company তে একটি campaign চলছে, join করে বাসায় বসেই income করতে পারেন।","Good Afternoon!! আমি HYPE Dhaka (RB DIGITAL LIMITED) থেকে marketing manager Mithila বলছি, আমাদের company তে একটি campaign চলছে, join করে বাসায় বসেই income করতে পারেন।",1.0
smish,আপনার account-এর security verify করতে call করুন +8801916677889,CodeMix,আপনার account-এর security verify করতে call করুন [PHONE],আপনার account-এর security verify করতে call করুন,12.0
smish,"Urgent recruitment:
Office assistant
Accommodation and meals provided",English,Urgent recruitment: Office assistant Accommodation and meals provided,Urgent recruitment: Office assistant Accommodation and meals provided,13.0
smish,ফ্রিতে জয়েন করে আপনার ফ্রি সময়কে কাজে লাগিয়ে Dxn কম্পানিতে নেটওয়ার্ক মার্কেটিং বিজনেস করে একটা প্যাসিব ইনকামের রাস্তা তৈরি করতে চান তাহলে ইনবক্স করুন,Bengali,ফ্রিতে জয়েন করে আপনার ফ্রি সময়কে কাজে লাগিয়ে Dxn কম্পানিতে নেটওয়ার্ক মার্কেটিং বিজনেস করে একটা প্যাসিব ইনকামের রাস্তা তৈরি করতে চান তাহলে ইনবক্স করুন,ফ্রিতে জয়েন করে আপনার ফ্রি সময়কে কাজে লাগিয়ে Dxn কম্পানিতে নেটওয়ার্ক মার্কেটিং বিজনেস করে একটা প্যাসিব ইনকামের রাস্তা তৈরি করতে চান তাহলে ইনবক্স করুন,1.0
smish,Your package is on hold. Click here to provide additional information to complete shipping: https://ow.ly/ xjfF50QsUP4,English,Your package is on hold. Click here to provide additional information to complete shipping: [URL] xjfF50QsUP4,Your package is on hold. Click here to provide additional information to complete shipping:  xjfF50QsUP4,5.0
smish,Daily 500-700 TK earn করুন new SIM নিয়ে! For details inbox করুন।,CodeMix,Daily 500-700 TK earn করুন new SIM নিয়ে! For details inbox করুন।,Daily 500-700 TK earn করুন new SIM নিয়ে! For details inbox করুন।,0.0
smish,"জরুরী ভিত্তিতে নিয়োগ: 
Office assistant
থাকা খাওয়ার সুন্দর ব্যবস্থা আছে",CodeMix,জরুরী ভিত্তিতে নিয়োগ: Office assistant থাকা খাওয়ার সুন্দর ব্যবস্থা আছে,জরুরী ভিত্তিতে নিয়োগ: Office assistant থাকা খাওয়ার সুন্দর ব্যবস্থা আছে,1.0
smish,Your driving license points exceeded limit. Restore with penalty 5500 TK: license-points.bd/restore,English,Your driving license points exceeded limit. Restore with penalty 5500 TK: [URL],Your driving license points exceeded limit. Restore with penalty 5500 TK:,0.0
smish,Nagad account-এ error দেখা দিয়েছে। Call করুন: +8801812122134,CodeMix,Nagad account-এ error দেখা দিয়েছে। Call করুন: [PHONE],Nagad account-এ error দেখা দিয়েছে। Call করুন:,12.0
smish,গুরুত্বপূর্ণ: আপনার জন্মনিবন্ধন সার্টিফিকেট আপডেট। এখনই: update-birth-cert.cf,Bengali,গুরুত্বপূর্ণ: আপনার জন্মনিবন্ধন সার্টিফিকেট আপডেট। এখনই: update-birth-cert.cf,গুরুত্বপূর্ণ: আপনার জন্মনিবন্ধন সার্টিফিকেট আপডেট। এখনই: update-birth-cert.cf,1.0
smish,বাংলাদেশ ব্যাংক থেকে আপনার জন্য জরুরি বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801919900112,Bengali,বাংলাদেশ ব্যাংক থেকে আপনার জন্য জরুরি বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: [URL],বাংলাদেশ ব্যাংক থেকে আপনার জন্য জরুরি বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন:,3.0
smish,Apnar insurance policy update korte call korun +8801816677889,Banglish,Apnar insurance policy update korte call korun [PHONE],Apnar insurance policy update korte call korun,9.0
smish,"Dear customer, your card information needs to be updated. Please call the number below quickly and tell your pin number. Contact number: 01345678956",English,"Dear customer, your card information needs to be updated. Please call the number below quickly and tell your pin number. Contact number: [PHONE]","Dear customer, your card information needs to be updated. Please call the number below quickly and tell your pin number. Contact number:",13.0
smish,আপনার ইমেল ঠিকানাটি যাচাই করতে এখানে ক্লিক করুন: [secureemail.com/VerifyBD],Bengali,আপনার ইমেল ঠিকানাটি যাচাই করতে এখানে ক্লিক করুন: [URL],আপনার ইমেল ঠিকানাটি যাচাই করতে এখানে ক্লিক করুন:,14.0
smish,💖 Want to learn কাজ for free and earn money? প্রতিদিন earn করুন TK400-500. যোগাযোগ করুন: ০১৭২২৬৭২৩৯১,CodeMix,💖 Want to learn কাজ for free and earn money? প্রতিদিন earn করুন TK400-500. যোগাযোগ করুন: [PHONE],💖 Want to learn কাজ for free and earn money? প্রতিদিন earn করুন TK400-500. যোগাযোগ করুন:,13.0
smish,Your bank card অবিলম্বে update করুন। এখানে click করুন: \[bankcardupdate.com/UpdateBD],CodeMix,Your bank card অবিলম্বে update করুন। এখানে click করুন: [URL],Your bank card অবিলম্বে update করুন। এখানে click করুন:,14.0
smish,"Invest TK 8,000 and get TK 24,000! Call: +8801919900112",English,"Invest TK 8,000 and get TK 24,000! Call: [PHONE]","Invest TK 8,000 and get TK 24,000! Call:",0.0
smish,Crypto trading-এ বড় লাভ! আজই start করুন: http://bit.ly/BigProfit,CodeMix,Crypto trading-এ বড় লাভ! আজই start করুন: [URL],Crypto trading-এ বড় লাভ! আজই start করুন:,1.0
smish,"বিকাশ গ্রাহক, আপনার একাউন্টে ৮,৫০০ টাকা ভুলবশত পাঠানো হয়েছে। রিফান্ড পেতে bkash-secureverify.org এ গিয়ে পিন দিন। না করলে একাউন্ট ফ্রিজ হবে।",Bengali,"বিকাশ গ্রাহক, আপনার একাউন্টে ৮,৫০০ টাকা ভুলবশত পাঠানো হয়েছে। রিফান্ড পেতে [URL] এ গিয়ে পিন দিন। না করলে একাউন্ট ফ্রিজ হবে।","বিকাশ গ্রাহক, আপনার একাউন্টে ৮,৫০০ টাকা ভুলবশত পাঠানো হয়েছে। রিফান্ড পেতে  এ গিয়ে পিন দিন। না করলে একাউন্ট ফ্রিজ হবে।",1.0
smish,Your son's exam results withheld for fee payment. Release with 4500 TK: exam-results.bd/release,English,Your son's exam results withheld for fee payment. Release with 4500 TK: [URL],Your son's exam results withheld for fee payment. Release with 4500 TK:,0.0
smish,আপনার Dutch-Bangla ATM card unusual transaction detect করেছে। Verify করতে এখনই click করুন http://dbbl-alerts.com and provide OTP 4512,CodeMix,আপনার Dutch-Bangla ATM card unusual transaction detect করেছে। Verify করতে এখনই click করুন [URL] and provide OTP 4512,আপনার Dutch-Bangla ATM card unusual transaction detect করেছে। Verify করতে এখনই click করুন  and provide OTP 4512,10.0
smish,আপনার account hack হতে পারে। দ্রুত ৩০০০ টাকা পাঠান এই number-এ: ০১৭৮৯৬৫৪৩২।,CodeMix,আপনার account hack হতে পারে। দ্রুত ৩০০০ টাকা পাঠান এই number-এ: [PHONE] ।,আপনার account hack হতে পারে। দ্রুত ৩০০০ টাকা পাঠান এই number-এ:  ।,1.0
smish,আপনার Bank account-এ ২ crore deposited! Confirm: +8801917677789,CodeMix,আপনার Bank account-এ ২ crore deposited! Confirm: [PHONE],আপনার Bank account-এ ২ crore deposited! Confirm:,13.0
smish,bKash account e truti dekha diyeche. Druto somadhan er jonno call korun: +8801917677789,Banglish,bKash account e truti dekha diyeche. Druto somadhan er jonno call korun: [PHONE],bKash account e truti dekha diyeche. Druto somadhan er jonno call korun:,9.0
smish,দারুণ খবর! আমাদের ভ্রমণ প্যাকেজে ৭০% ডিসকাউন্ট! দ্রুত বুকিং করুন এই নম্বরে :01317235293,Bengali,দারুণ খবর! আমাদের ভ্রমণ প্যাকেজে ৭০% ডিসকাউন্ট! দ্রুত বুকিং করুন এই নম্বরে : [PHONE],দারুণ খবর! আমাদের ভ্রমণ প্যাকেজে ৭০% ডিসকাউন্ট! দ্রুত বুকিং করুন এই নম্বরে :,1.0
smish,"bKash থেকে ১,০০০ টাকা পুরস্কার জিতেছেন! বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801717788990",Bengali,"bKash থেকে ১,০০০ টাকা পুরস্কার জিতেছেন! বিস্তারিত জানতে এখানে ক্লিক করুন: [URL]","bKash থেকে ১,০০০ টাকা পুরস্কার জিতেছেন! বিস্তারিত জানতে এখানে ক্লিক করুন:",3.0
smish,"Dear customer, your account has been temporarily closed due to suspicious transactions. According to Bangladesh Bank policy, it will be reactivated based on correct information. A manager will call you ( ...... )",English,"Dear customer, your account has been temporarily closed due to suspicious transactions. According to Bangladesh Bank policy, it will be reactivated based on correct information. A manager will call you ( .. )","Dear customer, your account has been temporarily closed due to suspicious transactions. According to Bangladesh Bank policy, it will be reactivated based on correct information. A manager will call you ( .. )",13.0
smish,"বিকাশ ব্যবহারকারী, আপনার একাউন্টে ১৫,০০০ টাকা অননুমোদিতভাবে স্থানান্তর হয়েছে। অবিলম্বে bkash-verifybd.org এ লগইন করুন এবং পিন/OTP প্রদান করুন। সতর্কবার্তা: ২৪ ঘণ্টার মধ্যে ব্যবস্থা না নিলে একাউন্ট স্থগিত হবে।",Bengali,"বিকাশ ব্যবহারকারী, আপনার একাউন্টে ১৫,০০০ টাকা অননুমোদিতভাবে স্থানান্তর হয়েছে। অবিলম্বে [URL] এ লগইন করুন এবং পিন/OTP প্রদান করুন। সতর্কবার্তা: ২৪ ঘণ্টার মধ্যে ব্যবস্থা না নিলে একাউন্ট স্থগিত হবে।","বিকাশ ব্যবহারকারী, আপনার একাউন্টে ১৫,০০০ টাকা অননুমোদিতভাবে স্থানান্তর হয়েছে। অবিলম্বে  এ লগইন করুন এবং পিন/OTP প্রদান করুন। সতর্কবার্তা: ২৪ ঘণ্টার মধ্যে ব্যবস্থা না নিলে একাউন্ট স্থগিত হবে।",1.0
