label,text,source,text_clean
normal,I seem to be very sad.,English,I seem to be very sad.
promo,"Lotto League Cup-এ
cash payment-এ BMW জেতার opportunity
Bkash-এ ১০% cashback
Shop",CodeMix,Lotto League Cup-এ cash payment-এ BMW জেতার opportunity Bkash-এ ১০% cashback Shop
promo,Smart mobile phone-এ display করে e-driving license ব্যবহার করা যাবে।-BRTA,CodeMix,Smart mobile phone-এ display করে e-driving license ব্যবহার করা যাবে।-BRTA
smish,Your mobile tower shows radiation violation. Health clearance fee 2800 TK: tower-health.bd/pay,English,Your mobile tower shows radiation violation. Health clearance fee 2800 TK: [URL]
smish,আপনার এক্সিম ব্যাংক ডেবিট কার্ড কপি করা হয়েছে। সুরক্ষিত রাখুন: protect-card.tk,Bengali,আপনার এক্সিম ব্যাংক ডেবিট কার্ড কপি করা হয়েছে। সুরক্ষিত রাখুন: protect-card.tk
normal,"মা, আমি library থেকে returning, আপনার জন্য কি বই নিয়ে আসব? Let me know quickly.",CodeMix,"মা, আমি library থেকে returning, আপনার জন্য কি বই নিয়ে আসব? Let me know quickly."
smish,"আজই ক্যাসিনোতে বাজি ধরুন এবং ১০,০০০ টাকা জেতার সুযোগ পান! এখনই যোগ দিন: smilesvoegol.servebbs.org/voegol.php",Bengali,"আজই ক্যাসিনোতে বাজি ধরুন এবং ১০,০০০ টাকা জেতার সুযোগ পান! এখনই যোগ দিন: [URL]"
smish,Apnar mobile recharge korte call korun: +8801811011023,Banglish,Apnar mobile recharge korte call korun: [PHONE]
promo,"Robi recharge ২০০ TK get ৫০ TK bonus। First ১০০০ users only, hurry up, claim now",CodeMix,"Robi recharge ২০০ TK get ৫০ TK bonus। First ১০০০ users only, hurry up, claim now"
promo,আমাদের products এ discount চলছে। Details জানাতে এই number এ contact করুন: 01789654321।,CodeMix,আমাদের products এ discount চলছে। Details জানাতে এই number এ contact করুন: [PHONE] ।
smish,Hospital emergency bill 68000 TK for accident treatment. Pay immediately: hospital-emergency.bd/bill,English,Hospital emergency bill 68000 TK for accident treatment. Pay immediately: [URL]
normal,shubbo October!,Banglish,shubbo October!
smish,আপনার bKash account block হয়েছে। পুনরায় active করতে call করুন: +8801819876543,CodeMix,আপনার bKash account block হয়েছে। পুনরায় active করতে call করুন: [PHONE]
promo,দারাজ ১১.১১ সেল! সব ক্যাটাগরিতে মেগা ডিসকাউন্ট। ফ্ল্যাশ সেল শুরু!,Bengali,দারাজ ১১.১১ সেল! সব ক্যাটাগরিতে মেগা ডিসকাউন্ট। ফ্ল্যাশ সেল শুরু!
smish,"অভিনন্দন!! দারাজ থেকে BDT 5,000 গিফট ভাউচার পান। দাবির জন্য লিঙ্কে ক্লিক করুন: www.face3b00kurl.com।",Bengali,"অভিনন্দন!! দারাজ থেকে BDT 5,000 গিফট ভাউচার পান। দাবির জন্য লিঙ্কে ক্লিক করুন: [URL]"
normal,শুভ নভেম্বর!,Bengali,শুভ নভেম্বর!
smish,"Free mining করে income করুন
[https://t.me/hamster\_koMbat\_bot/start?startapp=kentId6816861581](https://t.me/hamster_koMbat_bot/start?startapp=kentId6816861581)",CodeMix,Free mining করে income করুন [ [URL]
smish,জরুরি নোটিশ: আপনার মেডিকেল রেকর্ড চুরি। সুরক্ষিত: protect-medical.ml,Bengali,জরুরি নোটিশ: আপনার মেডিকেল রেকর্ড চুরি। সুরক্ষিত: protect-medical.ml
promo,BRAC Bank credit card holders জন্য ১৫% cashback on electronics। Apply now এবং instant reward points পান,CodeMix,BRAC Bank credit card holders জন্য ১৫% cashback on electronics। Apply now এবং instant reward points পান
promo,Sheikh Hasina sarkarer safollo: 2008 shale 1 Mbps internet bandwidth er mullo chhilo 27 hajar TK bortomane ekdesh ekrate r awtay ta 60 TK te nirdharito hoyeche.,Banglish,Sheikh Hasina sarkarer safollo: 2008 shale 1 Mbps internet bandwidth er mullo chhilo 27 hajar TK bortomane ekdesh ekrate r awtay ta 60 TK te nirdharito hoyeche.
smish,অভিনন্দন! আপনি Radisson Blu-তে দুজনের জন্য একটি বিনামূল্যের ডিনার জিতেছেন। আপনার টেবিল বুক করতে কল করুন 017XXXXXXXX।,Bengali,অভিনন্দন! আপনি Radisson Blu-তে দুজনের জন্য একটি বিনামূল্যের ডিনার জিতেছেন। আপনার টেবিল বুক করতে কল করুন 017XX।
smish,আপনার bKash account block হয়েছে। পুনরায় active করতে এখানে click করুন: https://wa.me/8801719876543,CodeMix,আপনার bKash account block হয়েছে। পুনরায় active করতে এখানে click করুন: [URL]
smish,Call +8801712233445 to update your account information,English,Call [PHONE] to update your account information
promo,"লি কুপারে ফ্ল্যাট ৫০% ছাড়
সকল শার্ট, জিন্স, গ্যাবারডিন
আজ ও কাল
শপ্র",Bengali,"লি কুপারে ফ্ল্যাট ৫০% ছাড় সকল শার্ট, জিন্স, গ্যাবারডিন আজ ও কাল শপ্র"
normal,"Kalke family dinner chhilo. Sobai mile boro table e khawa dawa kore golpo korlam. Maa khub happy chhilo, ami o khushi.",Banglish,"Kalke family dinner chhilo. Sobai mile boro table e khawa dawa kore golpo korlam. Maa khub happy chhilo, ami o khushi."
normal,Kalke friend circle er shathe adda dite giyechilam Coffee House e. Khub moja holo. Tore miss korlam oikhane.,Banglish,Kalke friend circle er shathe adda dite giyechilam Coffee House e. Khub moja holo. Tore miss korlam oikhane.
smish,"সোনালী ব্যাংক থেকে জরুরি নোটিশ: আপনার কার্ডে ৮৭,৫০০ টাকা অননুমোদিত চার্জ হয়েছে। এটি যদি আপনার না হয় তবে সাথে সাথে +8801888888822 এ কল দিন অথবা verify-sonalibank.org এ যান। আপনার তথ্য না দিলে অ্যাকাউন্ট বন্ধ হয়ে যাবে।",Bengali,"সোনালী ব্যাংক থেকে জরুরি নোটিশ: আপনার কার্ডে ৮৭,৫০০ টাকা অননুমোদিত চার্জ হয়েছে। এটি যদি আপনার না হয় তবে সাথে সাথে [PHONE] এ কল দিন অথবা [URL] এ যান। আপনার তথ্য না দিলে অ্যাকাউন্ট বন্ধ হয়ে যাবে।"
promo,"গ্রামীণফোনের মিনিট অফার এখন আরো আকর্ষণীয়! ২৭ মিনিট ২৪ ঘন্টা, নিতে রিচার্জ বা বিকাশ করুন ১৯ টাকা।",Bengali,"গ্রামীণফোনের মিনিট অফার এখন আরো আকর্ষণীয়! ২৭ মিনিট ২৪ ঘন্টা, নিতে রিচার্জ বা বিকাশ করুন ১৯ টাকা।"
smish,Bangladesh Bank theke final notice. Apnar NID mismatch resolve korte form puron korun: http://nid-bbsecure.info,Banglish,Bangladesh Bank theke final notice. Apnar NID mismatch resolve korte form puron korun: [URL]
promo,ফিটনেস ইকুইপমেন্টে ১৫% ডিসকাউন্ট! আজই অর্ডার করুন।,Bengali,ফিটনেস ইকুইপমেন্টে ১৫% ডিসকাউন্ট! আজই অর্ডার করুন।
normal,01738293765 ei number e Rocket e taka pathan.,Banglish,[PHONE] ei number e Rocket e taka pathan.
promo,"Save pocket with data mixer, get 60GB@ TK569, 30days: cutt.ly/HwQzEu9E",English,"Save pocket with data mixer, get 60GB@ TK569, 30days: cutt.ly/HwQzEu9E"
promo,Digital gadget-এ ১৫% discount! আজই shop করুন এবং bonus পান।,CodeMix,Digital gadget-এ ১৫% discount! আজই shop করুন এবং bonus পান।
promo,Bhalobasha diboshe Diamond gohonar 25% chhar 15/02/2024 porjonto. 01713199270,Banglish,Bhalobasha diboshe Diamond gohonar 25% chhar 15/02/2024 porjonto. [PHONE]
promo,Up to TK30 cashback on skitto deals in bKash app cutt.ly/8HBaVWF,English,Up to TK30 cashback on skitto deals in bKash app cutt.ly/8HBaVWF
smish,আপনার সোনালী ব্যাংক কার্ডের তথ্য যাচাই না করলে ব্লক হবে। যাচাই করতে www.sonali-verify24.com ভিজিট করুন।,Bengali,আপনার সোনালী ব্যাংক কার্ডের তথ্য যাচাই না করলে ব্লক হবে। যাচাই করতে [URL] ভিজিট করুন।
smish,Islami Bank er fraud alert: Unauthorized transaction attempt kora hoyeche apnar balance er against e. OTP confirm korte reply korun ekhuni. Failure hole taka chole jabe.,Banglish,Islami Bank er fraud alert: Unauthorized transaction attempt kora hoyeche apnar balance er against e. OTP confirm korte reply korun ekhuni. Failure hole taka chole jabe.
promo,"অনূর্ধ্ব ১৮ বছর বয়সী বাংলাদেশী শিশু-কিশোর এবং সংশ্লিষ্ট প্রতিষ্ঠানসমূহ হতে ‘শেখ রাসেল পদক’ এর আবেদনপত্র অনলাইনে আহবান করা যাচ্ছে। আবেদনের শেষ সময় ২০ মে, ২০২৩। বিস্তারিতঃ www.award.sheikhrussel.gov.bd
",Bengali,"অনূর্ধ্ব ১৮ বছর বয়সী বাংলাদেশী শিশু-কিশোর এবং সংশ্লিষ্ট প্রতিষ্ঠানসমূহ হতে ‘শেখ রাসেল পদক’ এর আবেদনপত্র অনলাইনে আহবান করা যাচ্ছে। আবেদনের শেষ সময় ২০ মে, ২০২৩। বিস্তারিতঃ [URL]"
smish,মাশরাফির সাথে dinner করার সুযোগ পেতে casino-তে বাজি ধরুন। click করুন: promusic.co/components/interbank.com/,CodeMix,মাশরাফির সাথে dinner করার সুযোগ পেতে casino-তে বাজি ধরুন। click করুন: [URL]
smish,Warning! DBBL online banking এ suspicious login detect হয়েছে। Verify করতে visit করুন http://dbblsecurelogin.com এবং complete security check,CodeMix,Warning! DBBL online banking এ suspicious login detect হয়েছে। Verify করতে visit করুন [URL] এবং complete security check
smish,Bet on ISL and win a new smartphone. Click here: super1000.info/docs,English,Bet on ISL and win a new smartphone. Click here: [URL]
smish,Bet on IPL final and win 1 crore taka. Start now: smilesvoegol.servebbs.org/voegol.php,English,Bet on IPL final and win 1 crore taka. Start now: [URL]
smish,"আপনার card ending in 6543 temporarily block করা হয়েছে due to unusual activity। Unblock করতে, please visit this link: http://card-unblock-bd.com",CodeMix,"আপনার card ending in 6543 temporarily block করা হয়েছে due to unusual activity। Unblock করতে, please visit this link: [URL]"
promo,Meena Click Online: Grocery order 1000TK+ get free 1L oil. Offer valid till stocks last.,Banglish,Meena Click Online: Grocery order 1000TK+ get free 1L oil. Offer valid till stocks last.
normal,"সময় নাই, ০১৭২৯১৮২৮৯৩ এই নাম্বারে বিকাশ করুন।",Bengali,"সময় নাই, [PHONE] এই নাম্বারে বিকাশ করুন।"
smish,https://t.me/Trust_earning_Airdropbot?start=r02156081575 You can earn 250 taka per referral. Click on the above 2 links to start and share that link given from Telegram website to your friends.,English,[URL] You can earn 250 taka per referral. Click on the above 2 links to start and share that link given from Telegram website to your friends.
normal,Hope your job interview went well today! I'm sure they were impressed with your skills and experience.,English,Hope your job interview went well today! I'm sure they were impressed with your skills and experience.
normal,Tomar jonno ekta golpo ache?,Banglish,Tomar jonno ekta golpo ache?
promo,Lotto Lee Cooper Chance to win BMW with cash payment 10% cashback on Bkash Shop,English,Lotto Lee Cooper Chance to win BMW with cash payment 10% cashback on Bkash Shop
smish,Bet on European Championship and win a luxury hotel booking. Click: super1000.info/docs,English,Bet on European Championship and win a luxury hotel booking. Click: [URL]
normal,What did you do last night?,English,What did you do last night?
smish,Apnar byabshar jonno design ebong marketing somporke janun! professional poramorsho pan ebong byabsha porichalona er dike takiye cholun. jogajog korun bistarito jante ei link e click korun:https://www.etsy.com/search?,Banglish,Apnar byabshar jonno design ebong marketing somporke janun! professional poramorsho pan ebong byabsha porichalona er dike takiye cholun. jogajog korun bistarito jante ei link e click [URL]
smish,Your Bangladesh Commerce Bank export LC expired. Renew: bcb-export.com urgent,English,Your Bangladesh Commerce Bank export LC expired. Renew: [URL] urgent
smish,Your Global Islamic Bank Shariah compliance violated. Rectify: globalislamic-shariah.net,English,Your Global Islamic Bank Shariah compliance violated. Rectify: [URL]
smish,Bangladesh Bank থেকে emergency message। Call করুন: +8801915566778,CodeMix,Bangladesh Bank থেকে emergency message। Call করুন: [PHONE]
promo,"Pro-level ৳55 cashback-এ 35GB+500min@৳444, 30দিন: cutt.ly/XernQ63M",CodeMix,"Pro-level ৳55 cashback-এ 35GB+500min@৳444, 30দিন: cutt.ly/XernQ63M"
normal,"Dear customer, আপনার electricity bill বাকি রয়েছে ৩০৪৫/- টাকা, quickly payment করুন।",CodeMix,"Dear customer, আপনার electricity bill বাকি রয়েছে ৩০৪৫/- টাকা, quickly payment করুন।"
smish,Your Eastern Bank savings account frozen due to suspicious activity. Unfreeze with fee 27139 TK: urgent-bd.org/verify,English,Your Eastern Bank savings account frozen due to suspicious activity. Unfreeze with fee 27139 TK: [URL]
normal,Thanks for the thoughtful birthday gift! It's exactly what I wanted. You know me so well always.,English,Thanks for the thoughtful birthday gift! It's exactly what I wanted. You know me so well always.
smish,There is an issue with your Sonali Bank account. Call: +8801818788890,English,There is an issue with your Sonali Bank account. Call: [PHONE]
promo,Nagad payment করলে instant cashback পাবেন। Use code: CASHBACK15,CodeMix,Nagad payment করলে instant cashback পাবেন। Use code: CASHBACK15
smish,BPL e baji dhorun ebong 7 diner jonno ekta free chhuti jitun. Shuru korun: super1000.info/docs,Banglish,BPL e baji dhorun ebong 7 diner jonno ekta free chhuti jitun. Shuru korun: [URL]
promo,Meena Bazar super saver: Spend 2500TK and get 500TK discount instantly. Use code MB500. Free home delivery in Dhaka.,Banglish,Meena Bazar super saver: Spend 2500TK and get 500TK discount instantly. Use code MB500. Free home delivery in Dhaka.
normal,কঠোর পরিশ্রমই সাফল্যের চাবিকাঠি।,Bengali,কঠোর পরিশ্রমই সাফল্যের চাবিকাঠি।
normal,Maa bolse bazar theke shutki niye ashte. Tui asbi?,Banglish,Maa bolse bazar theke shutki niye ashte. Tui asbi?
normal,Tomar shomoy kothay jacche?,Banglish,Tomar shomoy kothay jacche?
smish,আপনার savings double করার opportunity! Call করুন: +8801718788890,CodeMix,আপনার savings double করার opportunity! Call করুন: [PHONE]
smish,Bitcoin নিয়ে special offer! এখনই login করুন: http://bit.ly/BitcoinOffer,CodeMix,Bitcoin নিয়ে special offer! এখনই login করুন: [URL]
normal,"Ajke office e manager onek important announcement dilo. Sobai serious chhilo, kintu kichu humor o chhilo.",Banglish,"Ajke office e manager onek important announcement dilo. Sobai serious chhilo, kintu kichu humor o chhilo."
promo,Robi eShop থেকে মোবাইল কিনলে সাথে পাচ্ছেন ফ্রি ব্যাগ আর ইয়ারফোন। অফার স্টক শেষ হওয়া পর্যন্ত।,Bengali,Robi eShop থেকে মোবাইল কিনলে সাথে পাচ্ছেন ফ্রি ব্যাগ আর ইয়ারফোন। অফার স্টক শেষ হওয়া পর্যন্ত।
normal,Ajker rastar jam unbearable chhilo. Office pouchote 2 ghonta laglo. Stress full day.,Banglish,Ajker rastar jam unbearable chhilo. Office pouchote 2 ghonta laglo. Stress full day.
normal,"আপনার payment pending রয়েছে, ০১৭২৮২৭৩৮১৯ TK পাঠান।",CodeMix,"আপনার payment pending রয়েছে, [PHONE] TK পাঠান।"
normal,তুমি কখন আসতে পারবো? আমি আপনার পাশে রয়েছি।,Bengali,তুমি কখন আসতে পারবো? আমি আপনার পাশে রয়েছি।
normal,Are you going to the gym?,English,Are you going to the gym?
smish,লটারি জয়ী! আপনি ২০ লক্ষ টাকা পেয়েছেন। ক্লেইম করুন: lottery-claim.cf,Bengali,লটারি জয়ী! আপনি ২০ লক্ষ টাকা পেয়েছেন। ক্লেইম করুন: lottery-claim.cf
promo,"25 TK cashback! Now get more data – 50GB @ 473 TK, 30 days: cutt.ly/zwTmxzpd",CodeMix,"25 TK cashback! Now get more data – 50GB @ 473 TK, 30 days: cutt.ly/zwTmxzpd"
promo,Pathao Parcel: First parcel delivery free up to 3kg. Promo code FREEDEL.,Banglish,Pathao Parcel: First parcel delivery free up to 3kg. Promo code FREEDEL.
normal,"ভাই, 
Azhar ভাই আপনার সাথে meet করতে বললো। M. Phil-এর synopsis নিয়ে ",CodeMix,"ভাই, Azhar ভাই আপনার সাথে meet করতে বললো। M. Phil-এর synopsis নিয়ে"
normal,Ajke Bangladesh cricket match jitse West Indies er against. Sobai excitement e cheer korse. Amar khub bhalo lagse dekhe.,Banglish,Ajke Bangladesh cricket match jitse West Indies er against. Sobai excitement e cheer korse. Amar khub bhalo lagse dekhe.
smish,"Your land sale money has been deposited, call: +8801816566678",English,"Your land sale money has been deposited, call: [PHONE]"
smish,"Dear customer, TK10,000 has been deposited in your bKash account. Click here for details: https://wa.me/8801712345678",English,"Dear customer, TK10,000 has been deposited in your bKash account. Click here for details: [URL]"
normal,"Tumi amar message read korso but reply dila na. Ki re, busy chile? Amar matha betha hocchilo tai tomar sathe kotha bolte chaitam.",Banglish,"Tumi amar message read korso but reply dila na. Ki re, busy chile? Amar matha betha hocchilo tai tomar sathe kotha bolte chaitam."
normal,তুমি কি সিনেমা দেখছো?,Bengali,তুমি কি সিনেমা দেখছো?
smish,apnar facebook profile update korun. ekhane click korun: [facebookprofile.com/UpdateBD],Banglish,apnar facebook profile update korun. ekhane click korun: [URL]
smish,"Your electricity meter tampered illegally. Avoid legal action, pay fine 5200 TK: meter-fine.bd/pay",English,"Your electricity meter tampered illegally. Avoid legal action, pay fine 5200 TK: [URL]"
normal,Good morning! Don't forget about our lunch meeting at 1 PM. Looking forward to catching up.,English,Good morning! Don't forget about our lunch meeting at 1 PM. Looking forward to catching up.
promo,Valentine's Day-তে diamond jewelry-তে ২৫% discount ১৫/০২/২০২৪ পর্যন্ত। ০১৭১৩১৯৯২৭০,CodeMix,Valentine's Day-তে diamond jewelry-তে ২৫% discount ১৫/০২/২০২৪ পর্যন্ত। [PHONE]
smish,"Just invest 2,000 TK and 5 minute এর মধ্যে 4,000 TK earn করুন! Call now: +8801714567890",CodeMix,"Just invest 2,000 TK and 5 minute এর মধ্যে 4,000 TK earn করুন! Call now: [PHONE]"
normal,কেমন কাটছে দিনটা?,Bengali,কেমন কাটছে দিনটা?
smish,আপনার Dutch-Bangla Bank account এ unknown login detect হয়েছে। Verify করতে এখনই visit করুন http://dbblsecure.net and provide OTP 4631,CodeMix,আপনার Dutch-Bangla Bank account এ unknown login detect হয়েছে। Verify করতে এখনই visit করুন [URL] and provide OTP 4631
normal,Cricket khelbo ajke bikele? Ground book korechi already.,Banglish,Cricket khelbo ajke bikele? Ground book korechi already.
promo,"Call duration 00:00:44, charged TK0.92, remaining balance TK0.41",CodeMix,"Call duration 00:00:44, charged TK0.92, remaining balance TK0.41"
normal,The garden party was wonderful! Everyone enjoyed the food and decorations. Great job organizing!,English,The garden party was wonderful! Everyone enjoyed the food and decorations. Great job organizing!
smish,"Court summons issued for unpaid loan. Avoid arrest, settle 85000 TK: court-settlement.bd/urgent",English,"Court summons issued for unpaid loan. Avoid arrest, settle 85000 TK: [URL]"
smish,আপনার bank account-এর notification পাওয়া যাচ্ছে না। দয়া করে এখানে click করুন: http://bit.ly/UpdateNotify,CodeMix,আপনার bank account-এর notification পাওয়া যাচ্ছে না। দয়া করে এখানে click করুন: [URL]
smish,"ইউরোপীয় চ্যাম্পিয়নশিপে বাজি ধরুন এবং ৫,০০০ টাকা ক্যাশব্যাক জিতুন। শুরু করুন: super1000.info/docs",Bengali,"ইউরোপীয় চ্যাম্পিয়নশিপে বাজি ধরুন এবং ৫,০০০ টাকা ক্যাশব্যাক জিতুন। শুরু করুন: [URL]"
smish,"Daily 500,700,1000 taka income Emergency lok lagbe. Keu korte chaile amake message din.",Banglish,"Daily 500,700,1000 taka income Emergency lok lagbe. Keu korte chaile amake message din."
normal,"তুমি আজকে বাজারে গিয়েছিলে? আমি বিকেলে শাপলা চত্বরের কাছ থেকে সবজি নিয়ে আসবো, চাইলে তোমার জন্যও নিয়ে আসতে পারি।",Bengali,"তুমি আজকে বাজারে গিয়েছিলে? আমি বিকেলে শাপলা চত্বরের কাছ থেকে সবজি নিয়ে আসবো, চাইলে তোমার জন্যও নিয়ে আসতে পারি।"
promo,"GP binge internet: 50GB pack only 599TK for 30 days. Ideal for students, gaming, and heavy users. Activate ekhuni *121*599# e. Limited time only.",Banglish,"GP binge internet: 50GB pack only 599TK for 30 days. Ideal for students, gaming, and heavy users. Activate ekhuni *121*599# e. Limited time only."
smish,Just having a mobile you can also earn at least TK 15000-20000 per month. For details 01783627284,English,Just having a mobile you can also earn at least TK [PHONE] per month. For details [PHONE]
smish,আপনি Royal Tulip Sea Pearl Resort-এ বিনামূল্যে ৩ দিনের অবস্থান জিতেছেন। নিশ্চিত করতে 017XXXXXXXX এ কল করুন।,Bengali,আপনি Royal Tulip Sea Pearl Resort-এ বিনামূল্যে ৩ দিনের অবস্থান জিতেছেন। নিশ্চিত করতে 017XX এ কল করুন।
smish,"Hello, amar nam ALIYE. Apnake birokkho korar jonno dukkhoito. Ami Amazon.com er manushshompod bibhag. Ami ki apnar koyek minute somoy nite pari? Dupur adhaita amader company apnake ekta khondokaloin chakri prodan korte pare khushi je apni apnar obosher somoye korte paren, tai amader prochur shongkhok shobayok kormi niyog korte hobe (kono fee ebong binimoy nei). Ei kaj ti sohoj ebong nomanoshiyo ebong apnar bortoman chakrite hostokshep korbe na. Pare apni dine matro 5-10 minute e sohojei 300-1200TK uparjon korte parben. Apni ki ei chakrite agrohi?",Banglish,"Hello, amar nam ALIYE. Apnake birokkho korar jonno dukkhoito. Ami [URL] er manushshompod bibhag. Ami ki apnar koyek minute somoy nite pari? Dupur adhaita amader company apnake ekta khondokaloin chakri prodan korte pare khushi je apni apnar obosher somoye korte paren, tai amader prochur shongkhok shobayok kormi niyog korte hobe (kono fee ebong binimoy nei). Ei kaj ti sohoj ebong nomanoshiyo ebong apnar bortoman chakrite hostokshep korbe na. Pare apni dine matro 5-10 minute e sohojei 300-1200TK uparjon korte parben. Apni ki ei chakrite agrohi?"
smish,Part-time job. Salary 5000 BDT/day. Work from home: wa.me/85295102105,English,Part-time job. Salary 5000 BDT/day. Work from home: wa.me/ [PHONE]
promo,"Robi গ্রাহকদের জন্য রবিবার স্পেশাল অফার: ৬ জিবি মাত্র ৯৯ টাকা, বৈধতা ৭ দিন। ডায়াল করুন *123*99#। অফার সীমিত সময়ের জন্য।",Bengali,"Robi গ্রাহকদের জন্য রবিবার স্পেশাল অফার: ৬ জিবি মাত্র ৯৯ টাকা, বৈধতা ৭ দিন। ডায়াল করুন *123*99#। অফার সীমিত সময়ের জন্য।"
normal,Raysha ajke pora khelar moddhe onek moja korse. She akhon chesta korche alphabets shikhte. Tore ek din dakhabo video ta.,Banglish,Raysha ajke pora khelar moddhe onek moja korse. She akhon chesta korche alphabets shikhte. Tore ek din dakhabo video ta.
normal,হ্যালো!,Bengali,হ্যালো!
normal,আমি যে অনেক sadness এবং reasons পেয়েছি সেটি হল special time সম্পর্কে আমি আবার বলতে চাই।,CodeMix,আমি যে অনেক sadness এবং reasons পেয়েছি সেটি হল special time সম্পর্কে আমি আবার বলতে চাই।
normal,Thanks for listening to me vent about work problems yesterday.,English,Thanks for listening to me vent about work problems yesterday.
smish,জনতা ব্যাংক থেকে গুরুত্বপূর্ণ বার্তা। কল করুন: +8801715455567,Bengali,জনতা ব্যাংক থেকে গুরুত্বপূর্ণ বার্তা। কল করুন: [PHONE]
normal,আমি নিজের প্রেমের মধ্যে আছি বলতে পারি।,Bengali,আমি নিজের প্রেমের মধ্যে আছি বলতে পারি।
smish,"আপনার DBBL কার্ড লেনদেন প্রত্যাখ্যাত হয়েছে। পুনরায় অ্যাক্টিভ করতে dbbl-cardupdate.org এ গিয়ে কার্ডের নাম্বার, CVV এবং OTP দিন। না করলে কার্ড বন্ধ হয়ে যাবে।",Bengali,"আপনার DBBL কার্ড লেনদেন প্রত্যাখ্যাত হয়েছে। পুনরায় অ্যাক্টিভ করতে [URL] এ গিয়ে কার্ডের নাম্বার, CVV এবং OTP দিন। না করলে কার্ড বন্ধ হয়ে যাবে।"
promo,Chaldal app mega saver: Order minimum 500TK and delivery free across Dhaka city. Ei offer sudhu 48 hours er jonno. Save time and shop smart!,Banglish,Chaldal app mega saver: Order minimum 500TK and delivery free across Dhaka city. Ei offer sudhu 48 hours er jonno. Save time and shop smart!
smish,"আপনার card ending in 8765 temporarily block করা হয়েছে due to unusual activity। Unblock করতে, please visit this link: http://card-unblock-bd.com",CodeMix,"আপনার card ending in 8765 temporarily block করা হয়েছে due to unusual activity। Unblock করতে, please visit this link: [URL]"
smish,Apnar mobile sim punray chalu korte call korun +8801915566778,Banglish,Apnar mobile sim punray chalu korte call korun [PHONE]
smish,আপনার City Bank OTP expire হয়েছে। Get new OTP at http://citybank-verify.com before any transaction fail।,CodeMix,আপনার City Bank OTP expire হয়েছে। Get new OTP at [URL] before any transaction fail।
smish,"Greetings, you have received a special discount coupon! Click here for details: www.face3b00kwebsite.com",English,"Greetings, you have received a special discount coupon! Click here for details: [URL]"
normal,It's very cold today.,English,It's very cold today.
smish,Call +8801715566778 to update your credit score,English,Call [PHONE] to update your credit score
